"","city_lms_name","floor","no_rooms","one_rooms","two_rooms","three_rooms","four_rooms","five_rooms","six_rooms","seven_rooms","eight_rooms","nine_rooms","ten_rooms","more_rooms"
"379","Rishon Lezion",4,0,1,16,37,19,1,0,0,0,0,0,0
"380","Haifa",5,0,0,11,17,11,0,0,0,0,0,0,0
"381","Nof Hagalil",7,0,0,13,25,7,0,0,0,0,0,0,0
"382","Nahariya",3,0,2,26,54,8,1,0,0,0,0,0,0
"383","Harish",2,0,0,0,2,2,0,0,0,0,0,0,0
"384","Katzrin",2,0,0,9,20,5,0,0,0,0,0,0,0
"385","Karnei Shomron",2,0,0,0,23,6,0,0,0,0,0,0,0
"386","Rishon Lezion",10,0,0,0,1,0,0,0,0,0,0,0,0
"387","Kiryat Malachi",1,0,0,29,40,8,0,0,0,0,0,0,0
"388","Rishon Lezion",7,0,0,1,3,1,1,0,0,0,0,0,0
"389","Nahariya",6,0,0,0,5,2,0,0,0,0,0,0,0
"390","Haifa",8,0,9,3,10,8,2,0,0,0,0,0,0
"391","Beer Sheva",1,0,162,429,712,185,42,14,3,0,0,0,0
"392","Ness Ziona",5,0,0,0,1,0,0,0,0,0,0,0,0
"393","Ramat Hasharon",15,0,0,0,0,1,0,0,0,0,0,0,0
"394","Even Yehuda",2,0,0,1,1,0,0,0,0,0,0,0,0
"395","Ma'ale Hever",0,0,0,0,3,0,0,0,0,0,0,0,0
"396","Nof Hagalil",16,0,0,0,0,1,0,0,0,0,0,0,0
"397","Rekhasim",4,0,0,0,2,0,0,0,0,0,0,0,0
"398","Kfar Yona",4,0,0,0,0,1,0,0,0,0,0,0,0
"399","Kiryat Motzkin",2,0,3,3,14,2,1,0,0,0,0,0,0
"400","Pardes Hana",4,0,0,1,5,1,1,0,0,0,0,0,0
"401","Beit Shean",1,0,5,35,68,73,6,2,1,2,0,0,0
"402","Or Yehuda",6,0,0,0,0,1,0,0,0,0,0,0,0
"403","Kiryat Gat",11,0,0,0,1,1,0,0,0,0,0,0,0
"404","Kiryat Ono",1,0,2,9,9,8,1,0,0,0,0,0,0
"405","Ness Ziona",2,0,1,6,11,8,1,0,0,0,0,0,0
"406","Ramat Hasharon",18,0,0,0,0,1,0,0,0,0,0,0,0
"407","Zichron Yaakov",1,0,7,16,12,3,2,0,0,0,0,0,0
"408","Kiryat Motzkin",5,0,1,0,1,0,0,0,0,0,0,0,0
"409","Rekhasim",1,0,7,7,4,2,0,0,0,0,0,0,0
"410","Ramat Hasharon",12,0,0,0,0,1,0,0,0,0,0,0,0
"411","Holon",11,0,0,0,0,1,0,0,0,0,0,0,0
"412","Kiryat Gat",14,0,0,0,0,1,0,0,0,0,0,0,0
"413","Haifa",2,0,13,102,122,47,2,0,0,0,0,0,0
"414","Or Yehuda",3,0,0,16,23,2,1,0,0,0,0,0,0
"415","Kiryat Ono",4,0,1,0,6,3,1,0,0,0,0,0,0
"416","Hadera",6,0,0,0,2,0,0,0,0,0,0,0,0
"417","Kiryat Gat",16,0,0,0,0,1,0,0,0,0,0,0,0
"418","Kiryat Tiv'on",1,0,9,18,11,1,0,0,0,0,0,0,0
"419","Modi'in Illit",4,0,0,0,0,1,0,0,0,0,0,0,0
"420","Sderot",2,0,0,26,90,27,4,1,0,0,0,0,0
"421","Ma'ale Adumim",3,0,0,0,6,0,0,0,0,0,0,0,0
"422","Hod Hasharon",2,0,0,9,13,9,0,0,0,0,0,0,0
"423","Kiryat Yam",12,0,0,0,1,0,0,0,0,0,0,0,0
"424","Nesher",9,0,0,0,1,0,0,0,0,0,0,0,0
"425","Zichron Yaakov",3,0,2,4,8,3,0,0,0,0,0,0,0
"426","Yeruham",4,0,0,4,20,3,0,0,0,0,0,0,0
"427","Ashkelon",15,0,0,0,1,0,0,0,0,0,0,0,0
"428","Beit Shean",6,0,0,0,0,1,0,0,0,0,0,0,0
"429","Kfar Saba",6,0,0,1,0,1,0,0,0,0,0,0,0
"430","Ashkelon",9,0,0,2,2,0,0,0,0,0,0,0,0
"431","Bat Yam",5,0,0,0,8,5,0,0,0,0,0,0,0
"432","Mitzpe Ramon",1,0,1,38,76,31,1,0,0,0,0,0,0
"433","Hadera",3,0,5,14,53,9,1,0,0,0,0,0,0
"434","Beit Shean",0,0,2,3,3,3,1,1,0,0,0,0,0
"435","Hadera",9,0,0,0,0,1,0,0,0,0,0,0,0
"436","Sha'al",1,0,0,0,1,0,0,0,0,0,0,0,0
"437","Or Yehuda",1,0,21,13,27,15,1,1,0,0,0,0,0
"438","Atlit",4,0,0,0,5,0,0,0,0,0,0,0,0
"439","Lod",0,0,0,0,0,1,0,0,0,0,0,0,0
"440","Nahariya",1,0,9,54,50,18,4,1,0,0,0,0,0
"441","Herzliya",5,0,0,0,0,1,0,0,0,0,0,0,0
"442","Matula",3,0,0,0,0,1,0,0,0,0,0,0,0
"443","Netivot",6,0,0,0,0,1,0,0,0,0,0,0,0
"444","Rishon Lezion",2,0,0,40,79,32,3,0,0,0,0,0,0
"445","Binyamina-Givat Ad",0,0,0,0,1,0,0,0,0,0,0,0,0
"446","Nof Hagalil",5,0,3,39,33,5,0,0,0,0,0,0,0
"447","Beit Shean",9,0,0,0,0,6,0,0,0,0,0,0,0
"448","Mitzpe Ramon",4,0,0,7,27,13,0,0,0,0,0,0,0
"449","Tel Aviv Jaffa",14,0,0,0,0,1,0,0,0,0,0,0,0
"450","Netanya",8,0,0,1,10,7,1,0,0,0,0,0,0
"451","Ramat Gan",0,0,1,5,2,0,0,0,0,0,0,0,0
"452","Herzliya",2,0,11,32,52,5,2,0,0,0,0,0,0
"453","Bnei Aish",1,0,0,2,2,0,1,1,0,0,0,0,0
"454","Ma'alot-Tarshiha",7,0,0,0,4,1,0,0,0,0,0,0,0
"455","Neve Zohar",2,0,0,1,0,0,0,0,0,0,0,0,0
"456","Tirat Carmel",4,0,3,12,41,8,0,0,0,0,0,0,0
"457","Nof Hagalil",2,0,12,178,179,21,0,4,0,0,0,0,0
"458","Alei Zahav",1,0,0,0,1,0,0,0,0,0,0,0,0
"459","Binyamina-Givat Ad",3,0,0,3,5,0,0,0,0,0,0,0,0
"460","Petah Tikva",20,0,0,0,0,1,0,0,0,0,0,0,0
"461","Kiryat Yam",6,0,1,2,3,2,1,0,0,0,0,0,0
"462","Yavne",6,0,0,0,1,3,0,0,0,0,0,0,0
"463","Haifa",14,0,0,0,1,3,0,0,0,0,0,0,0
"464","Holon",7,0,1,7,3,0,0,0,0,0,0,0,0
"465","Kiryat Gat",2,0,0,160,134,39,1,0,0,0,0,0,0
"466","Alon Mora",1,0,0,0,37,1,0,0,0,0,0,0,0
"467","Yitav",0,0,0,0,0,3,0,0,0,0,0,0,0
"468","Beit El",2,0,0,0,8,3,0,0,0,0,0,0,0
"469","Ramat Gan",3,0,3,30,21,2,1,0,0,0,0,0,0
"470","Yehud",3,0,1,8,18,6,0,0,0,0,0,0,0
"471","Ephrata",1,0,0,0,0,0,0,1,0,0,0,0,0
"472","Or Yehuda",12,0,0,0,0,1,0,0,0,0,0,0,0
"473","Kiryat Ata",6,0,0,5,14,5,0,0,0,0,0,0,0
"474","Beer Sheva",7,0,1,3,20,15,0,0,0,0,0,0,0
"475","Nahariya",7,0,0,0,6,2,0,0,0,0,0,0,0
"476","Menachemia",3,0,0,0,2,0,0,0,0,0,0,0,0
"477","Shilo",1,0,0,0,7,0,0,0,0,0,0,0,0
"478","Ramat Gan",6,0,0,0,1,1,0,0,0,0,0,0,0
"479","Avnei Hefetz",3,0,0,0,1,0,0,0,0,0,0,0,0
"480","Yehud",0,0,1,1,3,0,0,0,0,0,0,0,0
"481","Maale Ephraim",2,0,0,0,11,0,0,0,0,0,0,0,0
"482","Givatayim",0,0,1,1,0,0,0,0,0,0,0,0,0
"483","Kiryat Ata",3,0,14,42,54,11,2,0,0,0,0,0,0
"484","Or Yehuda",15,0,0,0,1,0,0,0,0,0,0,0,0
"485","Beer Sheva",4,0,5,213,327,94,1,1,0,0,0,0,0
"486","Nahariya",4,0,0,6,20,5,0,0,0,0,0,0,0
"487","Ramat Gan",9,0,0,0,0,1,0,0,0,0,0,0,0
"488","Herzliya",1,0,59,42,59,27,1,0,0,0,0,0,0
"489","Or Yehuda",5,0,0,0,1,0,0,0,0,0,0,0,0
"490","Kiryat Ono",2,0,0,0,15,4,0,0,0,0,0,0,0
"491","Hadera",7,0,0,0,3,4,0,0,0,0,0,0,0
"492","Netivot",2,0,13,38,50,37,1,0,0,0,0,0,0
"493","Beit Dagan",3,0,0,4,4,3,0,0,0,0,0,0,0
"494","Lod",4,0,0,41,95,13,0,0,0,0,0,0,0
"495","Acre",6,0,0,2,11,2,0,0,0,0,0,0,0
"496","Acre",0,0,0,1,0,0,0,0,0,0,0,0,0
"497","Netivot",8,0,0,0,0,1,0,0,0,0,0,0,0
"498","Zefat",11,0,0,0,3,0,0,0,0,0,0,0,0
"499","Zefat",5,0,0,19,33,5,0,0,0,0,0,0,0
"500","Ramat Hasharon",3,0,0,5,16,2,0,0,0,0,0,0,0
"501","Atlit",3,0,0,0,15,1,0,1,0,0,0,0,0
"502","Afula",0,0,2,4,6,1,0,0,0,0,0,0,0
"503","Hasfin",0,0,0,0,9,0,0,0,0,0,0,0,0
"504","Lod",1,0,15,84,132,48,4,0,0,0,0,0,0
"505","Hazor HaGalilit",1,0,11,15,35,11,1,0,0,1,0,0,0
"506","Alon Shvut",1,0,0,2,4,0,0,0,0,0,0,0,0
"507","Efraim",2,0,0,0,0,4,0,0,0,0,0,0,0
"508","Bnei Brak",6,0,0,0,1,0,0,0,0,0,0,0,0
"509","Tirat Carmel",2,0,10,66,68,15,0,0,0,0,0,0,0
"510","Netivot",5,0,0,0,0,4,0,0,0,0,0,0,0
"511","Acre",3,0,2,71,80,20,0,0,0,0,0,0,0
"512","Ofakim",4,0,0,38,23,16,2,0,0,0,0,0,0
"513","Rekhasim",3,0,0,1,1,2,0,0,0,0,0,0,0
"514","Binyamina-Givat Ad",1,0,2,11,18,6,2,0,0,0,0,0,0
"515","Zefat",8,0,0,5,20,3,0,0,0,0,0,0,0
"516","Ramat Hasharon",6,0,0,0,2,1,0,0,0,0,0,0,0
"517","Or Akiva",1,0,16,37,43,13,2,0,0,0,0,0,0
"518","Eilat",8,0,0,0,1,3,0,0,0,0,0,0,0
"519","Ramat Hasharon",0,0,0,0,0,1,0,0,0,0,0,0,0
"520","Tiberias",6,0,0,0,18,6,0,0,0,0,0,0,0
"521","Azur",6,0,0,0,1,0,0,0,0,0,0,0,0
"522","Ramla",6,0,1,0,5,2,0,0,0,0,0,0,0
"523","Bar Yochai",1,0,0,0,1,0,0,2,0,0,0,0,0
"524","Ramat Hasharon",9,0,0,0,0,1,0,0,0,0,0,0,0
"525","Jerusalem",6,0,1,5,18,17,1,0,0,0,0,0,0
"526","Mount Gila",1,0,0,0,1,0,0,0,0,0,0,0,0
"527","Kiryat Tiv'on",3,0,0,3,1,3,0,0,0,0,0,0,0
"528","Kiryat Bialik",1,0,27,52,32,9,0,0,0,0,0,0,0
"529","Bat Yam",6,0,0,1,6,1,0,0,0,0,0,0,0
"530","Kiryat Bialik",4,0,1,10,11,1,0,0,0,0,0,0,0
"531","Beit Shemesh",6,0,0,0,19,0,0,0,0,0,0,0,0
"532","Kiryat Arba",5,0,0,0,7,4,0,0,0,0,0,0,0
"533","Azur",3,0,0,3,6,2,0,0,0,0,0,0,0
"534","Petah Tikva",1,0,24,49,123,48,6,2,0,0,0,0,0
"535","Ramla",3,0,0,39,78,15,0,0,0,0,0,0,0
"536","Pardes Hana",1,0,18,45,100,12,3,5,0,0,0,0,0
"537","Yeruham",2,0,0,45,83,9,0,0,0,0,0,0,0
"538","Jerusalem",9,0,0,0,12,2,1,0,0,0,0,0,0
"539","Jerusalem",3,0,6,53,186,80,7,1,0,0,0,0,0
"540","Ramla",0,0,0,0,0,2,0,0,0,0,0,0,0
"541","Kfar Yona",1,0,2,5,25,11,1,1,0,0,0,0,0
"542","Kiryat Ono",3,0,1,2,13,6,1,0,0,0,0,0,0
"543","Ma'alot-Tarshiha",1,0,8,54,40,14,2,1,0,0,0,0,0
"544","Ramat Gan",4,0,0,3,7,0,0,0,0,0,0,0,0
"545","Arad",0,0,0,2,3,0,0,0,0,0,0,0,0
"546","Gadida-Makr",2,0,0,0,12,18,0,0,0,0,0,0,0
"547","Beer Sheva",2,0,56,345,345,108,11,3,0,0,0,0,0
"548","Tel Mond",2,0,0,2,5,2,0,0,0,0,0,0,0
"549","Netanya",6,0,0,1,17,8,1,0,0,0,0,0,0
"550","Even Yehuda",1,0,0,3,5,1,0,0,0,0,0,0,0
"551","Rehovot",2,0,0,29,49,12,0,0,0,0,0,0,0
"552","Kiryat Arba",3,0,0,0,44,9,0,0,0,0,0,0,0
"553","Avnei Hefetz",1,0,0,2,0,0,0,0,0,0,0,0,0
"554","Ramat Hasharon",14,0,0,0,0,1,0,0,0,0,0,0,0
"555","Harutzim",1,0,2,3,1,0,0,0,0,0,0,0,0
"556","Ramla",5,0,0,0,3,3,0,0,0,0,0,0,0
"557","Jerusalem",11,0,0,0,1,1,0,0,0,0,0,0,0
"558","Kiryat Ono",0,0,0,0,1,0,0,0,0,0,0,0,0
"559","Pardes Hana",3,0,7,22,35,2,2,0,0,0,0,0,0
"560","Givat Shmuel",5,0,0,1,3,0,0,0,0,0,0,0,0
"561","Or Yehuda",7,0,0,0,2,0,0,0,0,0,0,0,0
"562","Kiryat Bialik",6,0,0,0,2,2,0,0,0,0,0,0,0
"563","Zefat",0,0,0,4,7,3,0,0,0,0,0,0,0
"564","Rishon Lezion",11,0,0,0,0,1,0,0,0,0,0,0,0
"565","Tel Aviv Jaffa",0,0,13,42,28,17,5,2,0,0,0,0,1
"566","Hazor HaGalilit",6,0,0,1,1,0,0,0,0,0,0,0,0
"567","Hod Hasharon",3,0,0,9,10,5,1,0,0,0,0,0,0
"568","Tzofar",1,0,0,0,1,0,0,0,0,0,0,0,0
"569","Ramat Yishai",2,0,0,0,1,0,0,0,0,0,0,0,0
"570","Lod",6,0,0,0,3,1,0,0,0,0,0,0,0
"571","Petah Tikva",15,0,0,0,0,1,0,0,0,0,0,0,0
"572","Petah Tikva",9,0,0,0,1,0,0,0,0,0,0,0,0
"573","Bnei Brak",1,0,24,34,44,29,1,0,0,0,0,0,0
"574","Migdal Haemek",6,0,0,0,3,3,0,0,0,0,0,0,0
"575","Ro'i",1,0,0,0,1,0,0,0,0,0,0,0,0
"576","Rishon Lezion",8,0,0,0,3,0,0,0,0,0,0,0,0
"577","Kiryat Yam",1,0,28,56,82,15,0,0,0,0,0,0,0
"578","Zefat",3,0,3,31,40,8,0,0,0,0,0,0,0
"579","Alon Mora",2,0,0,0,21,3,0,0,0,0,0,0,0
"580","Tirat Carmel",10,0,0,0,0,1,1,0,0,0,0,0,0
"581","Kiryat Yam",4,0,10,19,48,2,1,0,0,0,0,0,0
"582","Lod",3,0,0,66,97,12,0,0,0,0,0,0,0
"583","Modi'in Illit",0,0,0,0,0,1,0,0,0,0,0,0,0
"584","Bnei Brak",4,0,1,20,20,6,0,0,0,0,0,0,0
"585","Petah Tikva",12,0,0,0,0,1,0,0,0,0,0,0,0
"586","Kfar Saba",0,0,0,0,4,4,0,0,0,0,0,0,0
"587","Alon Shvut",2,0,0,0,5,1,0,0,0,0,0,0,0
"588","Hod Hasharon",0,0,0,2,2,1,0,0,0,0,0,0,0
"589","Rishon Lezion",5,0,0,0,12,4,0,0,0,0,0,0,0
"590","Elkana",1,0,0,0,5,17,6,0,0,0,0,0,0
"591","Zefat",6,0,0,19,24,6,0,0,0,0,0,0,0
"592","Halamish",1,0,0,0,4,0,0,0,0,0,0,0,0
"593","Atlit",1,0,2,11,32,0,0,0,0,0,0,0,0
"594","Hazor HaGalilit",7,0,0,2,0,0,0,0,0,0,0,0,0
"595","Tel Aviv Jaffa",1,0,68,198,261,103,16,4,0,0,0,0,0
"596","Ganei Tikva",3,0,0,0,9,1,1,0,0,0,0,0,0
"597","Acre",9,0,0,0,0,3,0,0,0,0,0,0,0
"598","Bnei Brak",0,0,0,1,3,4,1,0,0,0,0,0,0
"599","Ze'ev hill",2,0,0,0,1,0,0,0,0,0,0,0,0
"600","Ashdod",3,0,5,155,110,27,2,0,0,0,0,0,0
"601","Kadima-Zoran",1,0,2,10,9,7,1,1,0,0,0,0,0
"602","Tiberias",0,0,0,19,0,2,0,0,0,0,0,0,0
"603","Zefat",2,0,3,56,43,14,0,0,0,0,0,0,0
"604","Migdal Haemek",3,0,0,38,120,31,0,1,0,0,0,0,0
"605","Carmiel",3,0,0,33,99,6,2,0,0,0,0,0,0
"606","Arad",1,0,9,32,70,4,0,0,0,0,0,0,0
"607","Kmehin",0,0,0,0,3,0,0,0,0,0,0,0,0
"608","Or Akiva",7,0,0,0,0,1,0,0,0,0,0,0,0
"609","Ashdod",6,0,0,0,18,29,8,0,0,0,0,0,0
"610","Rehovot",5,0,0,0,4,0,1,0,0,0,0,0,0
"611","Rehovot",14,0,0,0,0,1,0,0,0,0,0,0,0
"612","Yavne",5,0,0,0,3,2,0,0,0,0,0,0,0
"613","Haifa",13,0,0,0,0,1,0,0,0,0,0,0,0
"614","Rehovot",8,0,0,0,0,2,0,0,0,0,0,0,0
"615","Jerusalem",0,0,32,82,82,56,7,2,0,1,0,0,0
"616","Katzrin",0,0,11,8,55,26,0,0,0,0,0,0,0
"617","Beit Shemesh",0,0,0,0,10,9,2,0,0,0,0,0,0
"618","Rosh HaAyin",6,0,0,0,1,0,1,0,0,0,0,0,0
"619","Ramla",9,0,0,0,3,1,0,0,0,0,0,0,0
"620","Or Akiva",4,0,0,0,18,1,0,0,0,0,0,0,0
"621","Haifa",19,0,0,0,0,1,0,0,0,0,0,0,0
"622","Nazareth",2,0,0,0,8,1,0,0,0,0,0,0,0
"623","Arad",4,0,6,74,48,4,0,0,0,0,0,0,0
"624","Haifa",10,0,0,0,1,1,0,0,0,0,0,0,0
"625","Rehovot",11,0,0,0,0,1,0,0,0,0,0,0,0
"626","Shorashim",0,0,0,0,1,0,0,0,0,0,0,0,0
"627","Kiryat Gat",0,0,0,1,15,3,1,0,0,0,0,0,0
"628","Katzrin",3,0,0,0,33,9,0,0,0,0,0,0,0
"629","Beit Shemesh",3,0,0,32,69,9,1,0,0,0,0,0,0
"630","Rosh HaAyin",3,0,0,2,10,3,0,0,0,0,0,0,0
"631","Carmiel",6,0,0,2,10,6,0,0,0,0,0,0,0
"632","Avshalom",1,0,0,0,1,0,0,0,0,0,0,0,0
"633","Netivot",4,0,1,6,38,24,0,0,0,0,0,0,0
"634","Mevo Dotan",1,0,0,0,1,0,0,0,0,0,0,0,0
"635","Herzliya",3,0,2,10,19,5,5,0,0,0,0,0,0
"636","Haifa",18,0,0,0,0,1,0,0,0,0,0,0,0
"637","Kiryat Tiv'on",2,0,3,5,8,2,0,0,0,0,0,0,0
"638","Eden",0,0,0,0,6,0,0,0,0,0,0,0,0
"639","Gan Yavne",1,0,1,7,6,0,1,0,0,0,0,0,0
"640","Gornot HaGalil",0,0,0,0,0,1,0,0,0,0,0,0,0
"641","Givatayim",3,0,0,2,7,0,0,0,0,0,0,0,0
"642","Ofakim",3,0,0,107,142,72,2,1,0,0,0,0,0
"643","Nazareth",7,0,0,0,0,1,0,0,0,0,0,0,0
"644","Mazkeret Batya",1,0,0,4,5,4,0,0,0,0,0,0,0
"645","Herzliya",0,0,3,1,0,0,0,0,0,0,0,0,0
"646","Shlomi",2,0,0,3,33,15,1,0,0,0,0,0,0
"647","Dimona",5,0,0,3,42,2,0,0,0,0,0,0,0
"648","Binyamina-Givat Ad",2,0,0,9,7,3,0,0,0,0,0,0,0
"649","Beit Shemesh",2,0,5,42,100,24,4,0,0,0,0,0,0
"650","Netivot",1,0,7,26,50,27,2,1,0,0,0,0,0
"651","Shfar'am",1,0,0,9,0,0,0,0,0,0,0,0,0
"652","Acre",7,0,0,2,18,2,0,0,0,0,0,0,0
"653","Lapidot",0,0,0,0,2,0,0,0,0,0,0,0,0
"654","Bar Yochai",0,0,0,0,3,0,0,0,0,0,0,0,0
"655","Sapir",1,0,0,0,4,4,0,0,0,0,0,0,0
"656","Netivot",7,0,0,0,0,2,0,0,0,0,0,0,0
"657","Nof Hagalil",0,0,0,5,10,0,0,0,0,0,0,0,0
"658","Ashdod",1,0,32,220,154,47,5,0,0,0,0,0,0
"659","Mazkeret Batya",4,0,0,0,1,0,0,0,0,0,0,0,0
"660","Dimona",2,0,28,265,244,49,1,2,0,0,0,0,0
"661","Ofakim",0,0,0,2,6,0,0,0,0,0,0,0,0
"662","Beit Shemesh",5,0,0,0,13,3,0,0,0,0,0,0,0
"663","Mevaseret Zion",1,0,0,5,1,0,1,0,0,0,0,0,0
"664","Kiryat Shmona",8,0,0,0,3,11,0,0,0,0,0,0,0
"665","Tiberias",5,0,0,0,31,5,0,1,0,0,0,0,0
"666","Raanana",2,0,1,2,16,4,0,0,0,0,0,0,0
"667","Yehud",1,0,5,24,20,5,0,1,0,0,0,0,0
"668","Yehud",7,0,0,0,1,0,0,0,0,0,0,0,0
"669","Beer Sheva",14,0,0,0,0,1,0,0,0,0,0,0,0
"670","Sderot",1,0,2,64,104,22,3,0,0,0,0,0,0
"671","Hadera",4,0,0,2,20,8,0,0,0,0,0,0,0
"672","Beer Sheva",11,0,0,0,1,4,0,0,0,0,0,0,0
"673","Elad",0,0,0,0,0,3,2,0,0,0,0,0,0
"674","Kiryat Gat",1,0,9,122,112,47,6,1,0,0,0,0,0
"675","Holon",4,0,9,21,27,10,0,0,0,0,0,0,0
"676","Ramat Hasharon",5,0,0,0,0,3,0,0,0,0,0,0,0
"677","Eilat",5,0,0,0,5,0,0,0,0,0,0,0,0
"678","Beitar Illit",2,0,0,0,6,2,0,1,0,0,0,0,0
"679","Raanana",5,0,0,0,1,0,0,0,0,0,0,0,0
"680","Yehud",4,0,0,3,8,3,2,0,0,0,0,0,0
"681","Ashkelon",4,0,0,97,145,54,1,0,0,0,0,0,0
"682","Tiberias",2,0,8,35,163,31,2,3,2,0,0,0,0
"683","Sderot",4,0,0,16,53,42,1,0,0,0,0,0,0
"684","Beit Shean",8,0,0,0,0,3,0,0,0,0,0,0,0
"685","Kfar Tapuach",1,0,0,0,15,0,0,0,0,0,0,0,0
"686","Ramat Hasharon",2,0,1,2,11,5,0,0,0,0,0,0,0
"687","Hadera",1,0,51,45,103,19,2,3,0,0,0,0,0
"688","Holon",1,0,43,88,136,59,4,0,0,0,0,0,0
"689","Ashkelon",7,0,0,0,13,1,0,0,0,0,0,0,0
"690","Tiberias",8,0,0,0,13,0,1,0,0,0,0,0,0
"691","Eilat",2,0,0,8,49,9,1,0,0,0,0,0,0
"692","Beitar Illit",5,0,0,0,3,0,0,0,0,0,0,0,0
"693","Rosh HaAyin",5,0,0,0,0,1,0,0,0,0,0,0,0
"694","Be'er Ya'akov",2,0,0,2,3,4,1,0,0,0,0,0,0
"695","Ashkelon",1,0,43,194,252,62,9,1,0,0,0,0,0
"696","Rosh HaAyin",1,0,24,15,19,19,6,0,0,0,0,0,0
"697","Carmiel",1,0,12,48,125,13,1,0,0,0,0,0,0
"698","Afula",1,0,6,86,150,35,1,1,0,0,0,0,0
"699","Kiryat Motzkin",17,0,0,0,0,1,1,0,0,0,0,0,0
"700","Sderot",3,0,0,38,114,32,3,0,0,0,0,0,0
"701","Kfar Tapuach",0,0,0,0,1,0,0,0,0,0,0,0,0
"702","Rehovot",12,0,0,0,0,1,0,0,0,0,0,0,0
"703","Jerusalem",4,0,10,72,121,57,6,0,0,0,0,0,0
"704","Beit Shean",7,0,0,0,0,1,0,0,0,0,0,0,0
"705","Bat Yam",4,0,5,27,47,12,0,0,0,0,0,0,0
"706","Hadera",2,0,0,54,42,11,0,0,0,0,0,0,0
"707","Tiberias",7,0,0,0,8,0,0,0,0,0,0,0,0
"708","Rosh HaAyin",4,0,0,0,2,1,0,0,0,0,0,0,0
"709","Be'er Ya'akov",1,0,8,3,8,10,2,0,0,0,0,0,0
"710","Bnei Aish",3,0,0,2,0,0,0,0,0,0,0,0,0
"711","Azur",1,0,0,2,10,2,0,0,0,0,0,0,0
"712","Sderot",0,0,0,0,0,1,0,0,0,0,0,0,0
"713","Beer Sheva",12,0,0,0,0,1,0,0,0,0,0,0,0
"714","Rehovot",9,0,0,0,0,1,0,0,0,0,0,0,0
"715","Jerusalem",1,0,106,187,243,119,17,1,0,0,0,0,0
"716","Bat Yam",1,0,13,96,141,38,2,0,0,0,0,0,0
"717","Beit Shean",4,0,0,0,61,48,0,0,0,0,0,0,0
"718","Beit Shemesh",7,0,0,0,3,0,0,0,0,0,0,0,0
"719","Acre",8,0,0,0,0,4,0,0,0,0,0,0,0
"720","Tirat Carmel",3,0,7,33,30,10,2,0,0,0,0,0,0
"721","Neve Zohar",1,0,0,1,3,0,0,0,0,0,0,0,0
"722","Yeruham",3,0,1,47,72,10,0,0,0,0,0,0,0
"723","Petahya",0,0,0,0,0,0,1,0,0,0,0,0,0
"724","Ephrata",0,0,0,0,0,0,1,0,0,0,0,0,0
"725","Tel Aviv Jaffa",10,0,0,0,2,0,0,0,0,0,0,0,0
"726","Ashdod",2,0,5,212,111,34,3,0,0,0,0,0,0
"727","Petah Tikva",2,0,1,61,114,28,2,0,0,0,0,0,0
"728","Itamar",1,0,0,0,20,0,0,0,0,0,0,0,0
"729","Einav",1,0,0,0,16,0,0,0,0,0,0,0,0
"730","Gedera",2,0,0,0,2,1,0,0,0,0,0,0,0
"731","Carmiel",7,0,0,0,4,7,0,0,0,0,0,0,0
"732","Tirat Carmel",0,0,0,0,0,1,0,0,0,0,0,0,0
"733","Yeruham",0,0,0,2,4,1,0,0,0,0,0,0,0
"734","Acre",5,0,1,1,10,5,0,0,0,0,0,0,0
"735","Nesher",0,0,0,0,2,3,0,0,0,0,0,0,0
"736","Ofakim",2,0,0,98,136,61,1,1,0,0,0,0,0
"737","Tel Aviv Jaffa",7,0,0,2,14,5,0,0,0,0,0,0,0
"738","Kiryat Ata",5,0,0,13,14,4,0,0,0,0,0,0,0
"739","Ashdod",5,0,0,0,24,26,4,0,0,0,0,0,0
"740","Tel Aviv Jaffa",13,0,0,0,0,2,0,0,0,0,0,0,0
"741","Carmiel",4,0,0,6,82,5,0,0,0,0,0,0,0
"742","Yehud",5,0,0,0,1,2,0,0,0,0,0,0,0
"743","Nesher",6,0,0,1,2,1,0,0,0,0,0,0,0
"744","Nof Hagalil",1,0,7,200,225,10,0,4,0,0,0,0,0
"745","Kiryat Ata",8,0,1,3,6,1,0,0,0,0,0,0,0
"746","Nesher",3,0,2,15,23,3,0,0,0,0,0,0,0
"747","Kiryat Ekron",2,0,0,1,9,0,1,0,0,0,0,0,0
"748","Dimona",1,0,38,289,314,61,9,3,0,1,0,0,0
"749","Beit Shemesh",4,0,0,36,48,18,1,0,0,0,0,0,0
"750","Beitar Illit",4,0,0,0,5,0,0,0,0,0,0,0,0
"751","Raanana",1,0,9,49,42,17,10,3,0,0,0,0,0
"752","Yehud",2,0,0,4,14,4,3,0,0,0,0,0,0
"753","Yehud",8,0,0,0,1,0,0,0,0,0,0,0,0
"754","Givatayim",2,0,1,3,3,0,0,0,0,0,0,0,0
"755","Nof Hagalil",4,0,11,75,181,18,0,0,0,0,0,0,0
"756","Dimona",4,0,1,94,217,48,1,0,0,0,0,0,0
"757","Shlomi",3,0,0,3,31,2,0,0,0,0,0,0,0
"758","Raanana",4,0,0,7,6,7,0,0,0,0,0,0,0
"759","Nov",1,0,0,0,8,0,0,0,0,0,0,0,0
"760","Matula",1,0,0,0,0,2,0,0,0,0,0,0,0
"761","Petah Tikva",0,0,0,6,15,5,0,0,0,0,0,0,0
