CityLMSName,Floor,NoRooms,OneRooms,TwoRooms,ThreeRooms,FourRooms,FiveRooms,SixRooms,SevenRooms,EightRooms,NineRooms,TenRooms,MoreRooms
הוד השרון,2,0,0,9,13,9,0,0,0,0,0,0,0
קרית ים,12,0,0,0,1,0,0,0,0,0,0,0,0
נשר,9,0,0,0,1,0,0,0,0,0,0,0,0
זכרון יעקב,3,0,2,4,8,3,0,0,0,0,0,0,0
ירוחם,4,0,0,4,20,3,0,0,0,0,0,0,0
אשקלון,15,0,0,0,1,0,0,0,0,0,0,0,0
בית שאן,6,0,0,0,0,1,0,0,0,0,0,0,0
כפר סבא,6,0,0,1,0,1,0,0,0,0,0,0,0
אשקלון,9,0,0,2,2,0,0,0,0,0,0,0,0
בת ים,5,0,0,0,8,5,0,0,0,0,0,0,0
מצפה רמון,1,0,1,38,76,31,1,0,0,0,0,0,0
חדרה,3,0,5,14,53,9,1,0,0,0,0,0,0
בית שאן,0,0,2,3,3,3,1,1,0,0,0,0,0
חדרה,9,0,0,0,0,1,0,0,0,0,0,0,0
שעל,1,0,0,0,1,0,0,0,0,0,0,0,0
אור יהודה,1,0,21,13,27,15,1,1,0,0,0,0,0
עתלית,4,0,0,0,5,0,0,0,0,0,0,0,0
לוד,0,0,0,0,0,1,0,0,0,0,0,0,0
נהריה,1,0,9,54,50,18,4,1,0,0,0,0,0
הרצליה,5,0,0,0,0,1,0,0,0,0,0,0,0
מטולה,3,0,0,0,0,1,0,0,0,0,0,0,0
נתיבות,6,0,0,0,0,1,0,0,0,0,0,0,0
ראשון לציון,2,0,0,40,79,32,3,0,0,0,0,0,0
בנימינה–גבעת עד,0,0,0,0,1,0,0,0,0,0,0,0,0
נוף הגליל,5,0,3,39,33,5,0,0,0,0,0,0,0
בית שאן,9,0,0,0,0,6,0,0,0,0,0,0,0
מצפה רמון,4,0,0,7,27,13,0,0,0,0,0,0,0
תל אביב -יפו,14,0,0,0,0,1,0,0,0,0,0,0,0
נתניה,8,0,0,1,10,7,1,0,0,0,0,0,0
רמת גן,0,0,1,5,2,0,0,0,0,0,0,0,0
הרצליה,2,0,11,32,52,5,2,0,0,0,0,0,0
"בני עי""ש",1,0,0,2,2,0,1,1,0,0,0,0,0
מעלות-תרשיחא,7,0,0,0,4,1,0,0,0,0,0,0,0
נוה זהר,2,0,0,1,0,0,0,0,0,0,0,0,0
טירת כרמל,4,0,3,12,41,8,0,0,0,0,0,0,0
נוף הגליל,2,0,12,178,179,21,0,4,0,0,0,0,0
עלי זהב,1,0,0,0,1,0,0,0,0,0,0,0,0
בנימינה–גבעת עד,3,0,0,3,5,0,0,0,0,0,0,0,0
פתח תקוה,20,0,0,0,0,1,0,0,0,0,0,0,0
קרית ים,6,0,1,2,3,2,1,0,0,0,0,0,0
יבנה,6,0,0,0,1,3,0,0,0,0,0,0,0
חיפה,14,0,0,0,1,3,0,0,0,0,0,0,0
חולון,7,0,1,7,3,0,0,0,0,0,0,0,0
קרית גת,2,0,0,160,134,39,1,0,0,0,0,0,0
אלון מורה,1,0,0,0,37,1,0,0,0,0,0,0,0
ייטב,0,0,0,0,0,3,0,0,0,0,0,0,0
בית אל,2,0,0,0,8,3,0,0,0,0,0,0,0
רמת גן,3,0,3,30,21,2,1,0,0,0,0,0,0
יהוד,3,0,1,8,18,6,0,0,0,0,0,0,0
אפרתה,1,0,0,0,0,0,0,1,0,0,0,0,0
אור יהודה,12,0,0,0,0,1,0,0,0,0,0,0,0
קרית אתא,6,0,0,5,14,5,0,0,0,0,0,0,0
באר שבע,7,0,1,3,20,15,0,0,0,0,0,0,0
נהריה,7,0,0,0,6,2,0,0,0,0,0,0,0
מנחמיה,3,0,0,0,2,0,0,0,0,0,0,0,0
שילה,1,0,0,0,7,0,0,0,0,0,0,0,0
רמת גן,6,0,0,0,1,1,0,0,0,0,0,0,0
אבני חפץ,3,0,0,0,1,0,0,0,0,0,0,0,0
יהוד,0,0,1,1,3,0,0,0,0,0,0,0,0
מעלה אפרים,2,0,0,0,11,0,0,0,0,0,0,0,0
גבעתים,0,0,1,1,0,0,0,0,0,0,0,0,0
קרית אתא,3,0,14,42,54,11,2,0,0,0,0,0,0
אור יהודה,15,0,0,0,1,0,0,0,0,0,0,0,0
באר שבע,4,0,5,213,327,94,1,1,0,0,0,0,0
נהריה,4,0,0,6,20,5,0,0,0,0,0,0,0
רמת גן,9,0,0,0,0,1,0,0,0,0,0,0,0
הרצליה,1,0,59,42,59,27,1,0,0,0,0,0,0
אור יהודה,5,0,0,0,1,0,0,0,0,0,0,0,0
קרית אונו,2,0,0,0,15,4,0,0,0,0,0,0,0
חדרה,7,0,0,0,3,4,0,0,0,0,0,0,0
נתיבות,2,0,13,38,50,37,1,0,0,0,0,0,0
בית דגן,3,0,0,4,4,3,0,0,0,0,0,0,0
לוד,4,0,0,41,95,13,0,0,0,0,0,0,0
עכו,6,0,0,2,11,2,0,0,0,0,0,0,0
עכו,0,0,0,1,0,0,0,0,0,0,0,0,0
נתיבות,8,0,0,0,0,1,0,0,0,0,0,0,0
צפת,11,0,0,0,3,0,0,0,0,0,0,0,0
צפת,5,0,0,19,33,5,0,0,0,0,0,0,0
רמת השרון,3,0,0,5,16,2,0,0,0,0,0,0,0
עתלית,3,0,0,0,15,1,0,1,0,0,0,0,0
עפולה,0,0,2,4,6,1,0,0,0,0,0,0,0
חספין,0,0,0,0,9,0,0,0,0,0,0,0,0
לוד,1,0,15,84,132,48,4,0,0,0,0,0,0
חצור הגלילית,1,0,11,15,35,11,1,0,0,1,0,0,0
אלון שבות,1,0,0,2,4,0,0,0,0,0,0,0,0
עפרים,2,0,0,0,0,4,0,0,0,0,0,0,0
בני ברק,6,0,0,0,1,0,0,0,0,0,0,0,0
טירת כרמל,2,0,10,66,68,15,0,0,0,0,0,0,0
נתיבות,5,0,0,0,0,4,0,0,0,0,0,0,0
עכו,3,0,2,71,80,20,0,0,0,0,0,0,0
אופקים,4,0,0,38,23,16,2,0,0,0,0,0,0
רכסים,3,0,0,1,1,2,0,0,0,0,0,0,0
בנימינה–גבעת עד,1,0,2,11,18,6,2,0,0,0,0,0,0
צפת,8,0,0,5,20,3,0,0,0,0,0,0,0
רמת השרון,6,0,0,0,2,1,0,0,0,0,0,0,0
אור עקיבא,1,0,16,37,43,13,2,0,0,0,0,0,0
אילת,8,0,0,0,1,3,0,0,0,0,0,0,0
רמת השרון,0,0,0,0,0,1,0,0,0,0,0,0,0
טבריה,6,0,0,0,18,6,0,0,0,0,0,0,0
אזור,6,0,0,0,1,0,0,0,0,0,0,0,0
רמלה,6,0,1,0,5,2,0,0,0,0,0,0,0
בר יוחאי,1,0,0,0,1,0,0,2,0,0,0,0,0
רמת השרון,9,0,0,0,0,1,0,0,0,0,0,0,0
ירושלים,6,0,1,5,18,17,1,0,0,0,0,0,0
הר גילה,1,0,0,0,1,0,0,0,0,0,0,0,0
קרית טבעון,3,0,0,3,1,3,0,0,0,0,0,0,0
קרית ביאליק,1,0,27,52,32,9,0,0,0,0,0,0,0
בת ים,6,0,0,1,6,1,0,0,0,0,0,0,0
קרית ביאליק,4,0,1,10,11,1,0,0,0,0,0,0,0
בית שמש,6,0,0,0,19,0,0,0,0,0,0,0,0
קרית ארבע,5,0,0,0,7,4,0,0,0,0,0,0,0
אזור,3,0,0,3,6,2,0,0,0,0,0,0,0
פתח תקוה,1,0,24,49,123,48,6,2,0,0,0,0,0
רמלה,3,0,0,39,78,15,0,0,0,0,0,0,0
פרדס חנה-כרכו,1,0,18,45,100,12,3,5,0,0,0,0,0
ירוחם,2,0,0,45,83,9,0,0,0,0,0,0,0
ירושלים,9,0,0,0,12,2,1,0,0,0,0,0,0
ירושלים,3,0,6,53,186,80,7,1,0,0,0,0,0
רמלה,0,0,0,0,0,2,0,0,0,0,0,0,0
כפר יונה,1,0,2,5,25,11,1,1,0,0,0,0,0
קרית אונו,3,0,1,2,13,6,1,0,0,0,0,0,0
מעלות-תרשיחא,1,0,8,54,40,14,2,1,0,0,0,0,0
רמת גן,4,0,0,3,7,0,0,0,0,0,0,0,0
ערד,0,0,0,2,3,0,0,0,0,0,0,0,0
גדידה-מכר,2,0,0,0,12,18,0,0,0,0,0,0,0
באר שבע,2,0,56,345,345,108,11,3,0,0,0,0,0
תל מונד,2,0,0,2,5,2,0,0,0,0,0,0,0
נתניה,6,0,0,1,17,8,1,0,0,0,0,0,0
אבן יהודה,1,0,0,3,5,1,0,0,0,0,0,0,0
רחובות,2,0,0,29,49,12,0,0,0,0,0,0,0
קרית ארבע,3,0,0,0,44,9,0,0,0,0,0,0,0
אבני חפץ,1,0,0,2,0,0,0,0,0,0,0,0,0
רמת השרון,14,0,0,0,0,1,0,0,0,0,0,0,0
חרוצים,1,0,2,3,1,0,0,0,0,0,0,0,0
רמלה,5,0,0,0,3,3,0,0,0,0,0,0,0
ירושלים,11,0,0,0,1,1,0,0,0,0,0,0,0
קרית אונו,0,0,0,0,1,0,0,0,0,0,0,0,0
פרדס חנה-כרכו,3,0,7,22,35,2,2,0,0,0,0,0,0
גבעת שמואל,5,0,0,1,3,0,0,0,0,0,0,0,0
אור יהודה,7,0,0,0,2,0,0,0,0,0,0,0,0
קרית ביאליק,6,0,0,0,2,2,0,0,0,0,0,0,0
צפת,0,0,0,4,7,3,0,0,0,0,0,0,0
ראשון לציון,11,0,0,0,0,1,0,0,0,0,0,0,0
תל אביב -יפו,0,0,13,42,28,17,5,2,0,0,0,0,1
חצור הגלילית,6,0,0,1,1,0,0,0,0,0,0,0,0
הוד השרון,3,0,0,9,10,5,1,0,0,0,0,0,0
צופר,1,0,0,0,1,0,0,0,0,0,0,0,0
רמת ישי,2,0,0,0,1,0,0,0,0,0,0,0,0
לוד,6,0,0,0,3,1,0,0,0,0,0,0,0
פתח תקוה,15,0,0,0,0,1,0,0,0,0,0,0,0
פתח תקוה,9,0,0,0,1,0,0,0,0,0,0,0,0
בני ברק,1,0,24,34,44,29,1,0,0,0,0,0,0
מגדל העמק,6,0,0,0,3,3,0,0,0,0,0,0,0
רועי,1,0,0,0,1,0,0,0,0,0,0,0,0
ראשון לציון,8,0,0,0,3,0,0,0,0,0,0,0,0
קרית ים,1,0,28,56,82,15,0,0,0,0,0,0,0
צפת,3,0,3,31,40,8,0,0,0,0,0,0,0
אלון מורה,2,0,0,0,21,3,0,0,0,0,0,0,0
טירת כרמל,10,0,0,0,0,1,1,0,0,0,0,0,0
קרית ים,4,0,10,19,48,2,1,0,0,0,0,0,0
לוד,3,0,0,66,97,12,0,0,0,0,0,0,0
מודיעין עילית,0,0,0,0,0,1,0,0,0,0,0,0,0
בני ברק,4,0,1,20,20,6,0,0,0,0,0,0,0
פתח תקוה,12,0,0,0,0,1,0,0,0,0,0,0,0
כפר סבא,0,0,0,0,4,4,0,0,0,0,0,0,0
אלון שבות,2,0,0,0,5,1,0,0,0,0,0,0,0
הוד השרון,0,0,0,2,2,1,0,0,0,0,0,0,0
ראשון לציון,5,0,0,0,12,4,0,0,0,0,0,0,0
אלקנה,1,0,0,0,5,17,6,0,0,0,0,0,0
צפת,6,0,0,19,24,6,0,0,0,0,0,0,0
חלמיש,1,0,0,0,4,0,0,0,0,0,0,0,0
עתלית,1,0,2,11,32,0,0,0,0,0,0,0,0
חצור הגלילית,7,0,0,2,0,0,0,0,0,0,0,0,0
תל אביב -יפו,1,0,68,198,261,103,16,4,0,0,0,0,0
גני תקוה,3,0,0,0,9,1,1,0,0,0,0,0,0
עכו,9,0,0,0,0,3,0,0,0,0,0,0,0
בני ברק,0,0,0,1,3,4,1,0,0,0,0,0,0
גבעת זאב,2,0,0,0,1,0,0,0,0,0,0,0,0
אשדוד,3,0,5,155,110,27,2,0,0,0,0,0,0
קדימה-צורן,1,0,2,10,9,7,1,1,0,0,0,0,0
טבריה,0,0,0,19,0,2,0,0,0,0,0,0,0
צפת,2,0,3,56,43,14,0,0,0,0,0,0,0
מגדל העמק,3,0,0,38,120,31,0,1,0,0,0,0,0
כרמיאל,3,0,0,33,99,6,2,0,0,0,0,0,0
ערד,1,0,9,32,70,4,0,0,0,0,0,0,0
כמהין,0,0,0,0,3,0,0,0,0,0,0,0,0
אור עקיבא,7,0,0,0,0,1,0,0,0,0,0,0,0
אשדוד,6,0,0,0,18,29,8,0,0,0,0,0,0
רחובות,5,0,0,0,4,0,1,0,0,0,0,0,0
רחובות,14,0,0,0,0,1,0,0,0,0,0,0,0
יבנה,5,0,0,0,3,2,0,0,0,0,0,0,0
חיפה,13,0,0,0,0,1,0,0,0,0,0,0,0
רחובות,8,0,0,0,0,2,0,0,0,0,0,0,0
ירושלים,0,0,32,82,82,56,7,2,0,1,0,0,0
קצרין,0,0,11,8,55,26,0,0,0,0,0,0,0
בית שמש,0,0,0,0,10,9,2,0,0,0,0,0,0
ראש העין,6,0,0,0,1,0,1,0,0,0,0,0,0
רמלה,9,0,0,0,3,1,0,0,0,0,0,0,0
אור עקיבא,4,0,0,0,18,1,0,0,0,0,0,0,0
חיפה,19,0,0,0,0,1,0,0,0,0,0,0,0
נצרת,2,0,0,0,8,1,0,0,0,0,0,0,0
ערד,4,0,6,74,48,4,0,0,0,0,0,0,0
חיפה,10,0,0,0,1,1,0,0,0,0,0,0,0
רחובות,11,0,0,0,0,1,0,0,0,0,0,0,0
שרשים,0,0,0,0,1,0,0,0,0,0,0,0,0
קרית גת,0,0,0,1,15,3,1,0,0,0,0,0,0
קצרין,3,0,0,0,33,9,0,0,0,0,0,0,0
בית שמש,3,0,0,32,69,9,1,0,0,0,0,0,0
ראש העין,3,0,0,2,10,3,0,0,0,0,0,0,0
כרמיאל,6,0,0,2,10,6,0,0,0,0,0,0,0
אבשלום,1,0,0,0,1,0,0,0,0,0,0,0,0
נתיבות,4,0,1,6,38,24,0,0,0,0,0,0,0
מבוא דותן,1,0,0,0,1,0,0,0,0,0,0,0,0
הרצליה,3,0,2,10,19,5,5,0,0,0,0,0,0
חיפה,18,0,0,0,0,1,0,0,0,0,0,0,0
קרית טבעון,2,0,3,5,8,2,0,0,0,0,0,0,0
עדן,0,0,0,0,6,0,0,0,0,0,0,0,0
גן יבנה,1,0,1,7,6,0,1,0,0,0,0,0,0
גרנות הגליל,0,0,0,0,0,1,0,0,0,0,0,0,0
גבעתים,3,0,0,2,7,0,0,0,0,0,0,0,0
אופקים,3,0,0,107,142,72,2,1,0,0,0,0,0
נצרת,7,0,0,0,0,1,0,0,0,0,0,0,0
מזכרת בתיה,1,0,0,4,5,4,0,0,0,0,0,0,0
הרצליה,0,0,3,1,0,0,0,0,0,0,0,0,0
שלומי,2,0,0,3,33,15,1,0,0,0,0,0,0
דימונה,5,0,0,3,42,2,0,0,0,0,0,0,0
בנימינה–גבעת עד,2,0,0,9,7,3,0,0,0,0,0,0,0
בית שמש,2,0,5,42,100,24,4,0,0,0,0,0,0
נתיבות,1,0,7,26,50,27,2,1,0,0,0,0,0
שפרעם,1,0,0,9,0,0,0,0,0,0,0,0,0
עכו,7,0,0,2,18,2,0,0,0,0,0,0,0
לפידות,0,0,0,0,2,0,0,0,0,0,0,0,0
בר יוחאי,0,0,0,0,3,0,0,0,0,0,0,0,0
ספיר,1,0,0,0,4,4,0,0,0,0,0,0,0
נתיבות,7,0,0,0,0,2,0,0,0,0,0,0,0
נוף הגליל,0,0,0,5,10,0,0,0,0,0,0,0,0
אשדוד,1,0,32,220,154,47,5,0,0,0,0,0,0
מזכרת בתיה,4,0,0,0,1,0,0,0,0,0,0,0,0
דימונה,2,0,28,265,244,49,1,2,0,0,0,0,0
אופקים,0,0,0,2,6,0,0,0,0,0,0,0,0
בית שמש,5,0,0,0,13,3,0,0,0,0,0,0,0
מבשרת ציון,1,0,0,5,1,0,1,0,0,0,0,0,0
קרית שמונה,8,0,0,0,3,11,0,0,0,0,0,0,0
טבריה,5,0,0,0,31,5,0,1,0,0,0,0,0
רעננה,2,0,1,2,16,4,0,0,0,0,0,0,0
יהוד,1,0,5,24,20,5,0,1,0,0,0,0,0
יהוד,7,0,0,0,1,0,0,0,0,0,0,0,0
באר שבע,14,0,0,0,0,1,0,0,0,0,0,0,0
שדרות,1,0,2,64,104,22,3,0,0,0,0,0,0
חדרה,4,0,0,2,20,8,0,0,0,0,0,0,0
באר שבע,11,0,0,0,1,4,0,0,0,0,0,0,0
אלעד,0,0,0,0,0,3,2,0,0,0,0,0,0
קרית גת,1,0,9,122,112,47,6,1,0,0,0,0,0
חולון,4,0,9,21,27,10,0,0,0,0,0,0,0
רמת השרון,5,0,0,0,0,3,0,0,0,0,0,0,0
אילת,5,0,0,0,5,0,0,0,0,0,0,0,0
ביתר עלית,2,0,0,0,6,2,0,1,0,0,0,0,0
רעננה,5,0,0,0,1,0,0,0,0,0,0,0,0
יהוד,4,0,0,3,8,3,2,0,0,0,0,0,0
אשקלון,4,0,0,97,145,54,1,0,0,0,0,0,0
טבריה,2,0,8,35,163,31,2,3,2,0,0,0,0
שדרות,4,0,0,16,53,42,1,0,0,0,0,0,0
בית שאן,8,0,0,0,0,3,0,0,0,0,0,0,0
כפר תפוח,1,0,0,0,15,0,0,0,0,0,0,0,0
רמת השרון,2,0,1,2,11,5,0,0,0,0,0,0,0
חדרה,1,0,51,45,103,19,2,3,0,0,0,0,0
חולון,1,0,43,88,136,59,4,0,0,0,0,0,0
אשקלון,7,0,0,0,13,1,0,0,0,0,0,0,0
טבריה,8,0,0,0,13,0,1,0,0,0,0,0,0
אילת,2,0,0,8,49,9,1,0,0,0,0,0,0
ביתר עלית,5,0,0,0,3,0,0,0,0,0,0,0,0
ראש העין,5,0,0,0,0,1,0,0,0,0,0,0,0
באר יעקב,2,0,0,2,3,4,1,0,0,0,0,0,0
אשקלון,1,0,43,194,252,62,9,1,0,0,0,0,0
ראש העין,1,0,24,15,19,19,6,0,0,0,0,0,0
כרמיאל,1,0,12,48,125,13,1,0,0,0,0,0,0
עפולה,1,0,6,86,150,35,1,1,0,0,0,0,0
קרית מוצקין,17,0,0,0,0,1,1,0,0,0,0,0,0
שדרות,3,0,0,38,114,32,3,0,0,0,0,0,0
כפר תפוח,0,0,0,0,1,0,0,0,0,0,0,0,0
רחובות,12,0,0,0,0,1,0,0,0,0,0,0,0
ירושלים,4,0,10,72,121,57,6,0,0,0,0,0,0
בית שאן,7,0,0,0,0,1,0,0,0,0,0,0,0
בת ים,4,0,5,27,47,12,0,0,0,0,0,0,0
חדרה,2,0,0,54,42,11,0,0,0,0,0,0,0
טבריה,7,0,0,0,8,0,0,0,0,0,0,0,0
ראש העין,4,0,0,0,2,1,0,0,0,0,0,0,0
באר יעקב,1,0,8,3,8,10,2,0,0,0,0,0,0
"בני עי""ש",3,0,0,2,0,0,0,0,0,0,0,0,0
אזור,1,0,0,2,10,2,0,0,0,0,0,0,0
שדרות,0,0,0,0,0,1,0,0,0,0,0,0,0
באר שבע,12,0,0,0,0,1,0,0,0,0,0,0,0
רחובות,9,0,0,0,0,1,0,0,0,0,0,0,0
ירושלים,1,0,106,187,243,119,17,1,0,0,0,0,0
בת ים,1,0,13,96,141,38,2,0,0,0,0,0,0
בית שאן,4,0,0,0,61,48,0,0,0,0,0,0,0
בית שמש,7,0,0,0,3,0,0,0,0,0,0,0,0
עכו,8,0,0,0,0,4,0,0,0,0,0,0,0
טירת כרמל,3,0,7,33,30,10,2,0,0,0,0,0,0
נוה זהר,1,0,0,1,3,0,0,0,0,0,0,0,0
ירוחם,3,0,1,47,72,10,0,0,0,0,0,0,0
פתחיה,0,0,0,0,0,0,1,0,0,0,0,0,0
אפרתה,0,0,0,0,0,0,1,0,0,0,0,0,0
תל אביב -יפו,10,0,0,0,2,0,0,0,0,0,0,0,0
אשדוד,2,0,5,212,111,34,3,0,0,0,0,0,0
פתח תקוה,2,0,1,61,114,28,2,0,0,0,0,0,0
איתמר,1,0,0,0,20,0,0,0,0,0,0,0,0
ענב,1,0,0,0,16,0,0,0,0,0,0,0,0
גדרה,2,0,0,0,2,1,0,0,0,0,0,0,0
כרמיאל,7,0,0,0,4,7,0,0,0,0,0,0,0
טירת כרמל,0,0,0,0,0,1,0,0,0,0,0,0,0
ירוחם,0,0,0,2,4,1,0,0,0,0,0,0,0
עכו,5,0,1,1,10,5,0,0,0,0,0,0,0
נשר,0,0,0,0,2,3,0,0,0,0,0,0,0
אופקים,2,0,0,98,136,61,1,1,0,0,0,0,0
תל אביב -יפו,7,0,0,2,14,5,0,0,0,0,0,0,0
קרית אתא,5,0,0,13,14,4,0,0,0,0,0,0,0
אשדוד,5,0,0,0,24,26,4,0,0,0,0,0,0
תל אביב -יפו,13,0,0,0,0,2,0,0,0,0,0,0,0
כרמיאל,4,0,0,6,82,5,0,0,0,0,0,0,0
יהוד,5,0,0,0,1,2,0,0,0,0,0,0,0
נשר,6,0,0,1,2,1,0,0,0,0,0,0,0
נוף הגליל,1,0,7,200,225,10,0,4,0,0,0,0,0
קרית אתא,8,0,1,3,6,1,0,0,0,0,0,0,0
נשר,3,0,2,15,23,3,0,0,0,0,0,0,0
קרית עקרון,2,0,0,1,9,0,1,0,0,0,0,0,0
דימונה,1,0,38,289,314,61,9,3,0,1,0,0,0
בית שמש,4,0,0,36,48,18,1,0,0,0,0,0,0
ביתר עלית,4,0,0,0,5,0,0,0,0,0,0,0,0
רעננה,1,0,9,49,42,17,10,3,0,0,0,0,0
יהוד,2,0,0,4,14,4,3,0,0,0,0,0,0
יהוד,8,0,0,0,1,0,0,0,0,0,0,0,0
גבעתים,2,0,1,3,3,0,0,0,0,0,0,0,0
נוף הגליל,4,0,11,75,181,18,0,0,0,0,0,0,0
דימונה,4,0,1,94,217,48,1,0,0,0,0,0,0
שלומי,3,0,0,3,31,2,0,0,0,0,0,0,0
רעננה,4,0,0,7,6,7,0,0,0,0,0,0,0
נוב,1,0,0,0,8,0,0,0,0,0,0,0,0
מטולה,1,0,0,0,0,2,0,0,0,0,0,0,0
פתח תקוה,0,0,0,6,15,5,0,0,0,0,0,0,0
ירושלים,8,0,0,0,15,4,0,0,0,0,0,0,0
פתח תקוה,6,0,0,0,6,4,0,0,0,0,0,0,0
ירושלים,2,0,27,109,231,113,13,0,0,0,0,0,0
נתניה,3,0,12,42,90,33,1,0,0,0,0,0,0
"דוב""ב",1,0,0,0,1,0,0,0,0,0,0,0,0
כרמיאל,5,0,0,0,10,8,0,0,0,0,0,0,0
תל שבע,1,0,0,4,0,0,0,0,0,0,0,0,0
אבשלום,0,0,0,0,12,0,0,0,0,0,0,0,0
תל אביב -יפו,12,0,0,0,1,0,0,0,0,0,0,0,0
ערד,6,0,0,0,3,1,0,0,0,0,0,0,0
רחובות,13,0,0,0,0,2,0,0,0,0,0,0,0
כחל,0,0,0,0,1,0,0,0,0,0,0,0,0
קרית שמונה,5,0,0,1,23,10,0,0,0,0,0,0,0
יקנעם עלית,3,0,0,15,6,5,0,0,0,0,0,0,0
תל אביב -יפו,9,0,0,0,2,1,0,0,0,0,0,0,0
ירושלים,5,0,1,17,45,22,1,1,0,0,0,0,0
באר שבע,8,0,0,0,20,14,0,0,0,0,0,0,0
פתח תקוה,3,0,0,47,78,21,1,0,0,0,0,0,0
אלעד,3,0,0,0,1,3,1,0,0,0,0,0,0
אור יהודה,13,0,0,0,1,0,0,0,0,0,0,0,0
כרמיאל,8,0,0,2,3,9,0,0,0,0,0,0,0
קרית ביאליק,0,0,1,0,1,0,0,0,0,0,0,0,0
קרית ים,7,0,2,1,2,3,0,0,0,0,0,0,0
יקנעם עלית,6,0,0,0,1,1,0,0,0,0,0,0,0
קרית עקרון,3,0,0,2,5,2,0,0,0,0,0,0,0
עפולה,5,0,0,30,36,13,0,0,0,0,0,0,0
עכו,4,0,0,81,97,8,0,0,0,0,0,0,0
נשר,1,0,14,33,27,3,0,0,0,0,0,0,0
בת ים,0,0,1,3,2,0,0,0,0,0,0,0,0
קדימה-צורן,2,0,0,9,6,2,0,0,0,0,0,0,0
קרית עקרון,0,0,0,1,0,0,1,0,0,0,0,0,0
יבנאל,1,0,0,3,6,1,0,0,0,0,0,0,0
תל אביב -יפו,6,0,0,0,30,14,0,0,0,0,0,0,0
קרית ים,10,0,0,0,1,1,0,0,0,0,0,0,0
עפולה,2,0,0,66,138,27,1,0,0,0,0,0,0
תל אביב -יפו,3,0,9,98,190,55,7,1,2,0,1,0,0
נשר,7,0,0,3,2,0,0,0,0,0,0,0,0
עכו,1,0,22,95,78,21,2,1,0,0,0,0,0
נשר,4,0,0,10,16,2,0,0,0,0,0,0,0
נתניה,0,0,1,2,13,7,2,0,0,0,0,0,0
גדרה,1,0,0,2,5,3,0,0,0,0,0,0,0
בת ים,3,0,10,41,79,14,3,0,0,0,0,0,0
ביתר עלית,1,0,0,0,6,3,0,0,0,0,0,0,0
אילת,0,0,0,2,3,5,0,0,0,0,0,0,0
בית שמש,1,0,15,61,104,29,2,1,0,0,0,0,0
אשקלון,3,0,0,160,179,43,0,0,0,0,0,0,0
באר יעקב,4,0,0,3,3,0,0,0,0,0,0,0,0
דימונה,7,0,0,0,1,0,0,0,0,0,0,0,0
קרית מוצקין,11,0,0,0,0,0,2,0,0,0,0,0,0
זכרון יעקב,4,0,1,6,2,3,0,0,0,0,0,0,0
נתיבות,0,0,0,0,26,16,1,0,0,0,0,0,0
קרית שמונה,4,0,0,13,68,31,1,0,0,0,0,0,0
קרית מלאכי,4,0,0,44,24,11,0,0,0,0,0,0,0
אלעד,4,0,0,0,2,2,0,0,0,0,0,0,0
חמרה,1,0,0,0,1,0,0,0,0,0,0,0,0
חולון,8,0,1,8,4,1,0,0,0,0,0,0,0
חולון,2,0,28,43,104,31,3,0,0,0,0,0,0
טבריה,1,0,13,76,109,43,2,12,4,0,0,1,0
אשקלון,6,0,0,7,12,4,0,0,0,0,0,0,0
חדרה,8,0,0,0,2,5,0,0,0,0,0,0,0
רמת השרון,1,0,12,16,34,12,6,0,0,0,0,0,0
אילת,3,0,0,13,42,4,0,0,0,0,0,0,0
נתיבות,3,0,1,11,36,19,0,0,0,0,0,0,0
טבריה,4,0,0,24,60,7,0,3,0,0,0,0,0
אשקלון,0,0,0,1,22,12,3,0,0,0,0,0,0
מבשרת ציון,2,0,0,1,0,1,0,0,0,0,0,0,0
בני יהודה,1,0,0,0,5,0,0,0,0,0,0,0,0
קרית שמונה,1,0,8,18,125,94,3,1,0,7,0,0,0
קרית מוצקין,8,0,0,0,0,2,0,0,0,0,0,0,0
קרית מוצקין,14,0,0,0,0,1,0,0,0,0,0,0,0
קרית מלאכי,7,0,0,0,0,2,0,0,0,0,0,0,0
קרית שמונה,7,0,0,0,5,11,0,0,0,0,0,0,0
חדרה,5,0,0,0,2,1,0,0,0,0,0,0,0
קרית מלאכי,10,0,0,0,0,1,0,0,0,0,0,0,0
אלעד,1,0,0,0,4,9,0,0,0,0,0,0,0
מזכרת בתיה,2,0,0,1,4,1,0,0,0,0,0,0,0
אילת,6,0,0,0,2,2,0,0,0,0,0,0,0
חולון,5,0,1,4,6,12,1,0,0,0,0,0,0
טלמון,1,0,0,0,3,0,0,0,0,0,0,0,0
