Committee symbol,Lamas_code,settlement name,settlement name_Heb,settlement ID,BZB,Voters,Rejected,Accepted,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
9,225,GAN HASHOMERON,גן השומרון,225,628,502,0,502,58,0,2,0,0,0,7,8,0,2,0,0,0,0,0,2,13,54,75,0,0,0,278,0,0,0,0,0,1,0,0,2
11,229,GANNE TIQWA,גני תקווה,229,14410,11227,31,11196,755,264,20,1,0,0,6,537,0,8,0,0,0,0,0,114,461,2371,594,2,1,0,5169,1,3,0,2,1,1,1,3,881
11,230,MA'AS,מעש,230,687,539,4,535,30,5,1,0,0,0,38,28,0,0,0,0,0,0,0,3,18,90,39,0,0,0,274,0,0,0,1,0,0,0,0,8
10,232,SHEFAYIM,שפיים,232,984,757,2,755,145,1,8,0,0,0,3,7,0,1,0,0,0,0,0,0,13,23,141,0,0,0,413,0,0,0,0,0,0,0,0,0
10,233,KEFAR YEDIDYA,כפר ידידיה,233,484,395,1,394,40,0,0,0,0,0,2,5,0,0,0,0,0,0,0,3,5,30,46,0,0,0,263,0,0,0,0,0,0,0,0,0
17,234,BIZZARON,ביצרון,234,883,695,0,695,70,4,0,0,0,0,115,15,0,1,0,1,0,0,0,4,12,67,46,0,0,0,355,0,1,0,1,0,0,0,0,3
10,235,HAVAZZELET HASHARON,חבצלת השרון,235,344,216,2,214,17,0,1,0,0,0,3,2,0,0,0,0,0,0,0,3,11,43,24,0,0,0,99,0,0,0,0,0,0,0,0,11
8,237,SHA'AR HAAMAQIM,שער העמקים,237,552,436,0,436,46,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,19,6,163,0,0,0,196,0,0,0,0,0,2,0,0,0
19,239,GAN HAYYIM,גן חיים,239,542,433,0,433,48,1,3,0,0,0,7,9,0,0,0,0,0,0,0,1,17,37,46,0,0,0,263,0,0,0,0,0,0,0,1,0
5,240,YOQNE'AM ILLIT,יקנעם עילית,240,17875,12414,75,12339,721,121,8,8,4,0,4,530,1,20,0,3,4,0,1,173,1707,4281,331,2,1,0,3914,3,8,1,1,7,3,8,9,465
5,241,YOQNE'AM(MOSHAVA),יקנעם (מושבה),241,1018,772,1,771,73,1,2,0,0,0,7,25,0,0,1,0,0,0,0,3,25,55,125,0,1,0,446,0,0,0,0,0,0,0,2,5
5,242,BET HASHITTA,בית השיטה,242,1038,766,1,765,165,1,1,0,1,0,0,23,0,0,0,0,0,0,0,11,17,42,69,0,0,0,435,0,0,0,0,0,0,0,0,0
18,246,NETIVOT,נתיבות,246,23036,17413,116,17297,247,1281,4,6,3,0,7,907,1,8,1,4,2,0,5,907,1100,5184,28,5,2,0,759,2,18,0,0,2,2,3,4,6805
10,247,RISHPON,רשפון,247,874,683,4,679,37,0,1,0,0,0,89,7,0,1,0,0,0,0,0,2,33,62,90,0,0,0,355,0,0,1,0,0,0,0,1,0
5,248,BET SHE'ARIM,בית שערים,248,475,383,1,382,36,0,1,0,0,0,1,14,0,0,0,0,0,0,0,2,7,51,35,0,0,0,235,0,0,0,0,0,0,0,0,0
11,249,KEFAR SIRKIN,כפר סירקין,249,971,807,3,804,45,1,2,0,0,0,70,16,0,0,0,0,0,0,0,2,31,85,52,0,0,0,496,0,0,0,0,0,0,0,0,4
5,250,HAZOREA,הזורע,250,899,631,1,630,68,1,4,0,1,0,1,13,0,2,0,0,0,0,0,4,8,21,208,0,0,0,292,0,0,0,0,0,0,0,0,7
10,252,BITAN AHARON,ביתן אהרן,252,193,75,0,75,5,2,0,0,0,0,5,4,0,0,0,0,0,0,0,2,5,6,6,0,0,0,39,0,0,0,0,0,0,0,0,1
3,253,HULATA,חולתה,253,446,332,0,332,82,1,0,0,0,0,2,7,0,0,0,0,0,0,0,6,10,19,44,1,0,0,156,0,0,2,0,0,0,0,1,1
8,254,KEFAR HAMAKKABBI,כפר המכבי,254,307,212,0,212,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,14,24,0,0,0,127,0,0,0,0,0,0,0,0,1
4,255,KEFAR HITTIM,כפר חיטים,255,502,340,0,340,29,1,0,0,0,0,0,13,0,0,0,0,0,0,0,4,16,111,6,0,0,0,148,0,0,0,0,1,0,0,3,8
5,256,NIR DAWID (TEL AMAL),ניר דוד (תל עמל),256,610,455,0,455,64,1,0,0,0,0,0,8,0,0,0,0,0,0,0,1,10,10,144,0,0,0,217,0,0,0,0,0,0,0,0,0
11,257,NOFEKH,נופך,257,390,322,0,322,23,1,1,0,0,0,1,15,0,0,0,0,0,0,0,6,4,145,5,0,0,0,93,1,0,0,0,0,0,0,0,27
5,259,SEDE NAHUM,שדה נחום,259,519,377,2,375,56,0,0,0,0,0,3,4,0,0,0,0,0,0,0,11,13,78,17,2,0,0,188,0,0,0,0,0,0,0,0,3
4,262,GINNOSAR,גינוסר,262,545,377,2,375,53,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,9,61,34,0,0,0,209,0,1,0,0,0,0,0,0,0
4,263,MASSADA,מסדה,263,272,176,1,175,28,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,5,19,11,0,0,0,105,0,1,1,0,0,0,0,0,2
4,264,SHA'AR HAGOLAN,שער הגולן,264,493,363,0,363,48,0,2,0,0,0,2,5,0,0,0,0,0,0,0,3,4,13,91,0,0,0,195,0,0,0,0,0,0,0,0,0
5,265,BET YOSEF,בית יוסף,265,366,245,0,245,13,2,0,0,0,0,12,7,0,1,0,0,0,0,0,11,1,153,3,0,0,0,14,0,0,1,0,0,0,0,0,27
15,267,KEFAR SHEMARYAHU,כפר שמריהו,267,1868,1186,8,1178,76,7,2,1,0,0,5,26,0,0,0,0,0,0,0,5,62,168,108,0,1,0,710,0,0,0,0,0,2,0,0,5
5,268,TIRAT ZEVI,טירת צבי,268,519,393,8,385,31,4,0,0,0,0,6,210,0,0,0,0,0,0,0,9,3,55,4,0,0,0,60,0,1,1,0,0,0,0,0,1
5,269,MOLEDET,מולדת,269,792,576,3,573,69,2,0,0,0,0,6,14,0,0,0,0,0,0,0,0,17,44,60,0,0,0,357,0,0,0,0,1,0,0,0,3
5,270,EN HASHOFET,עין השופט,270,880,527,2,525,89,1,1,0,0,0,0,3,0,0,0,0,0,0,0,1,24,23,156,0,0,0,224,0,0,0,0,0,0,0,0,3
5,272,MA'OZ HAYYIM,מעוז חיים,272,465,288,0,288,68,0,2,0,0,0,3,1,0,0,0,0,0,0,0,3,5,22,29,0,0,0,155,0,0,0,0,0,0,0,0,0
4,273,EN GEV,עין גב,273,481,318,1,317,82,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,8,33,34,0,0,0,150,0,0,3,1,0,0,0,0,0
17,274,KEFAR MENAHEM,כפר מנחם,274,883,673,1,672,78,2,6,0,1,0,0,13,0,0,0,0,0,0,0,0,21,38,167,0,0,0,343,0,1,0,0,0,0,0,0,2
10,276,ZUR MOSHE,צור משה,276,1830,1433,2,1431,124,7,3,0,0,0,23,28,0,2,0,0,0,0,0,5,45,153,132,3,1,0,896,0,0,0,0,0,0,0,1,8
8,278,USHA,אושה,278,373,261,0,261,32,1,3,0,0,0,0,2,0,0,0,0,0,0,0,2,7,18,29,0,0,0,167,0,0,0,0,0,0,0,0,0
6,280,HANITA,חניתה,280,728,465,0,465,78,0,1,0,1,0,0,7,0,1,0,0,0,0,0,3,11,38,82,0,0,0,243,0,0,0,0,0,0,0,0,0
6,281,PEQI'IN HADASHA,פקיעין חדשה,281,325,259,0,259,29,6,0,0,0,0,2,0,0,0,0,0,0,0,0,8,4,130,0,0,0,0,10,0,0,0,0,0,0,0,0,70
6,282,SHAVE ZIYYON,שבי ציון,282,878,615,1,614,60,0,2,0,0,0,0,31,0,0,0,0,0,0,0,1,25,121,48,0,0,0,317,0,0,0,0,0,0,0,0,9
19,284,SEDE WARBURG,שדה ורבורג,284,1000,742,1,741,35,3,2,0,0,0,2,7,0,0,0,0,0,0,0,3,15,65,133,0,0,0,472,0,0,0,0,0,1,0,0,3
5,285,ALLONIM,אלונים,285,508,397,1,396,76,0,1,1,1,0,0,4,0,0,0,0,0,0,0,1,11,24,39,0,0,0,235,0,0,0,0,0,1,0,0,2
2,286,MA'ALE HAHAMISHA,מעלה החמישה,286,557,404,1,403,66,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,8,21,77,0,0,0,221,0,0,0,0,0,0,0,1,0
10,287,TEL YIZHAQ,תל יצחק,287,652,534,4,530,46,2,0,0,2,0,0,12,0,0,0,0,0,0,0,0,18,57,51,0,0,0,339,0,0,0,0,0,1,0,0,2
10,288,BET YEHOSHUA,בית יהושע,288,710,534,2,532,41,2,1,0,0,0,5,16,0,0,0,0,0,0,0,4,13,53,74,0,0,0,322,0,0,0,0,0,0,0,0,1
6,289,EN HAMIFRAZ,עין המפרץ,289,703,522,0,522,60,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,6,8,207,0,0,0,233,0,0,1,0,0,0,0,0,1
9,290,MA'YAN ZEVI,מעין צבי,290,673,492,1,491,97,1,1,0,1,0,1,4,0,0,0,0,0,0,0,1,12,31,64,0,0,0,276,0,0,0,0,0,0,0,0,2
4,292,SHARONA,שרונה,292,446,346,0,346,33,0,1,0,0,0,5,7,0,0,0,0,0,0,0,5,13,31,36,0,0,0,215,0,0,0,0,0,0,0,0,0
17,293,SEDE YO'AV,שדה יואב,293,373,302,1,301,57,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,10,9,69,0,0,0,149,0,0,0,0,0,1,0,0,1
6,294,ELON,אילון,294,819,611,0,611,58,0,2,0,0,0,1,15,0,0,1,0,0,0,0,6,25,73,185,0,0,0,242,0,1,0,0,0,0,0,0,2
5,295,KEFAR RUPPIN,כפר רופין,295,383,252,0,252,42,0,0,0,1,0,1,7,0,0,0,0,0,0,0,4,9,14,34,0,0,0,139,0,1,0,0,0,0,0,0,0
5,296,NEWE ETAN,נווה איתן,296,186,117,0,117,31,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,3,9,14,0,0,0,53,0,0,0,0,0,0,0,0,2
6,297,KEFAR MASARYK,כפר מסריק,297,594,389,0,389,44,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,19,15,111,0,0,0,193,0,0,0,0,0,0,0,0,0
5,298,MESILLOT,מסילות,298,436,287,1,286,58,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,12,9,58,0,0,0,145,0,0,0,0,0,0,0,0,0
5,300,DALIYYA,דליה,300,651,475,0,475,46,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,3,11,167,1,0,0,237,1,0,0,0,0,0,0,0,1
12,301,BET UZZI'EL,בית עוזיאל,301,466,337,1,336,15,0,0,0,0,0,32,24,1,0,0,0,0,0,0,11,7,137,6,0,0,0,87,0,0,0,0,0,0,0,0,16
3,302,DAFNA,דפנה,302,573,452,1,451,71,0,2,0,0,0,1,7,0,0,0,0,0,0,0,4,12,37,67,0,0,0,246,0,0,0,0,0,0,0,0,4
3,303,DAN,דן,303,528,409,2,407,57,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,9,11,120,0,0,0,201,0,0,1,0,0,0,0,0,0
5,304,SEDE ELIYYAHU,שדה אליהו,304,615,356,1,355,19,1,0,1,0,0,3,212,1,0,0,0,0,0,0,10,2,60,2,0,0,0,44,0,0,0,0,0,0,0,0,0
4,305,GESHER,גשר,305,416,250,2,248,73,0,4,0,0,0,1,0,0,1,0,0,0,0,0,1,6,22,25,0,0,0,115,0,0,0,0,0,0,0,0,0
4,306,SHADMOT DEVORA,שדמות דבורה,306,491,399,0,399,43,0,0,0,0,0,5,7,0,0,0,0,0,0,0,3,12,39,24,0,0,0,260,0,0,2,0,1,0,0,2,1
4,307,HAZORE'IM,הזורעים,307,514,419,0,419,8,9,0,0,0,0,4,227,0,0,0,0,0,0,0,34,2,104,3,0,0,0,15,0,0,0,0,0,0,0,0,13
3,308,MAHANAYIM,מחניים,308,554,385,3,382,50,2,1,0,0,0,3,8,0,3,0,0,0,0,0,3,16,82,41,0,0,0,173,0,0,0,0,0,0,0,0,0
17,309,NEHORA,נהורה,309,950,718,3,715,36,13,0,0,0,0,10,50,0,0,0,1,0,0,0,10,17,330,8,0,0,0,149,0,0,0,0,0,0,0,0,91
9,310,KEFAR GLIKSON,כפר גליקסון,310,282,214,0,214,35,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,8,11,45,0,0,0,108,0,0,0,0,0,0,0,0,0
13,311,GAN SOREQ,גן שורק,311,265,202,0,202,10,0,1,0,0,0,4,10,0,0,0,0,0,0,0,0,13,35,14,0,0,0,114,0,1,0,0,0,0,0,0,0
9,312,NEWE YAM,נווה ים,312,209,162,0,162,15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,7,47,14,0,0,0,64,0,0,0,0,0,0,0,0,1
8,313,AFEQ,אפק,313,497,365,0,365,63,0,2,0,0,0,0,8,0,0,0,0,0,0,0,1,12,17,37,0,0,0,225,0,0,0,0,0,0,0,0,0
17,315,NEGBA,נגבה,315,701,482,1,481,58,1,3,0,0,0,5,4,0,0,0,0,0,0,0,2,28,27,104,0,0,0,246,0,0,1,0,0,0,0,0,2
10,316,KEFAR NETTER,כפר נטר,316,738,577,0,577,46,0,1,0,0,0,2,16,0,0,0,0,0,0,0,0,17,67,63,0,0,0,362,0,0,0,0,0,0,0,0,3
9,317,BET OREN,בית אורן,317,307,205,0,205,31,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,4,20,36,0,0,0,106,1,0,0,0,0,0,0,0,0
18,318,AMMI'OZ,עמיעוז,318,209,138,0,138,6,0,0,0,0,0,33,2,0,0,0,0,0,0,0,0,2,45,0,0,0,0,36,0,0,0,0,0,0,0,0,14
3,319,AMIR,עמיר,319,496,357,0,357,61,0,3,0,0,0,1,2,0,0,0,0,0,0,0,2,5,18,101,0,0,0,161,0,0,1,1,0,0,0,1,0
17,320,KEFAR WARBURG,כפר ורבורג,320,819,652,0,652,67,2,1,1,0,0,31,14,0,1,0,0,0,0,0,1,15,90,34,1,0,0,389,0,0,0,0,0,0,0,0,5
3,322,BET HILLEL,בית הלל,322,569,403,0,403,39,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,13,23,52,0,0,0,265,0,0,1,0,0,0,0,0,1
3,324,SHE'AR YASHUV,שאר ישוב,324,423,298,0,298,30,1,0,0,0,0,3,6,0,1,0,0,0,0,0,5,10,68,21,0,0,0,151,0,0,0,0,0,0,0,0,2
6,325,MAZZUVA,מצובה,325,834,580,0,580,78,0,1,1,0,0,0,11,1,0,0,0,0,0,0,2,29,99,40,0,0,0,312,0,1,0,0,1,0,0,0,4
10,326,BET YIZHAQ-SH. HEFER,בית יצחק-שער חפר,326,1615,1240,4,1236,78,4,3,0,0,0,20,19,0,0,0,0,0,0,0,5,47,111,146,0,0,0,799,1,0,0,0,0,0,0,1,2
9,327,SEDOT YAM,שדות ים,327,698,577,3,574,89,7,3,0,0,0,2,7,0,1,0,0,0,0,0,3,9,41,66,0,0,0,339,0,0,0,0,0,0,0,0,7
3,329,SEDE NEHEMYA,שדה נחמיה,329,745,576,1,575,95,0,0,0,0,0,3,13,0,1,0,0,0,0,0,0,24,101,58,0,0,0,275,0,0,0,0,0,0,0,1,4
4,330,ALUMMOT,אלומות,330,303,208,0,208,48,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,5,23,29,0,0,0,94,0,0,0,0,0,0,0,0,1
12,331,NIR ZEVI,ניר צבי,331,915,713,0,713,84,3,2,0,0,0,16,12,0,0,0,0,0,0,0,0,22,74,88,0,0,0,407,0,0,0,1,0,0,0,0,4
13,334,QEVUZAT YAVNE,קבוצת יבנה,334,599,437,1,436,41,1,0,0,0,0,3,169,1,0,0,0,0,0,0,5,13,66,5,0,0,0,130,0,0,0,0,0,0,0,0,2
5,335,RAMAT HASHOFET,רמת השופט,335,721,511,2,509,66,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,16,28,143,0,0,0,251,0,0,0,0,0,0,0,0,0
17,336,DOROT,דורות,336,551,404,0,404,106,0,1,0,0,0,3,10,0,0,0,0,0,0,0,1,8,22,48,0,0,0,203,0,0,0,0,1,0,0,0,1
17,338,IBBIM,איבים,338,107,24,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,13,0,0,0,0,3,0,0,0,0,0,0,1,0,0
5,339,RAMAT ZEVI,רמת צבי,339,446,373,0,373,45,3,2,0,1,0,25,12,0,0,0,0,0,0,0,6,6,31,36,0,0,0,204,0,1,0,0,0,0,0,0,1
17,340,GAT(QIBBUZ),גת (קיבוץ),340,557,400,1,399,54,0,1,0,0,0,3,5,0,0,0,1,0,0,0,3,10,23,89,0,0,0,208,0,0,0,0,0,0,0,0,2
17,342,GEVAR'AM,גברעם,342,318,234,0,234,43,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,18,26,12,0,0,0,124,0,0,0,0,1,0,0,0,3
5,343,HAMADYA,חמדיה,343,300,220,0,220,51,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,2,33,8,0,0,0,116,0,0,0,0,0,0,0,0,1
9,344,MA'ANIT,מענית,344,548,444,1,443,81,0,3,0,0,0,2,3,0,0,0,0,0,0,0,2,7,23,119,0,0,0,202,0,0,0,0,0,0,0,0,1
3,345,KEFAR SZOLD,כפר סאלד,345,488,353,3,350,50,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,14,70,0,0,0,206,0,0,1,0,0,0,0,0,0
15,346,GELIL YAM,גליל ים,346,348,264,2,262,65,0,3,0,0,0,2,4,0,1,0,0,0,0,0,0,4,11,27,0,0,0,136,0,1,0,0,0,0,0,1,7
3,347,MENARA,מנרה,347,212,151,0,151,43,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,19,0,0,0,75,0,0,0,0,0,0,0,0,0
17,348,NIR AM,ניר עם,348,386,260,0,260,86,1,0,0,0,0,2,6,0,0,0,0,0,0,0,3,9,24,14,0,0,0,114,0,0,0,0,0,0,0,0,1
17,351,NIZZAN,ניצן,351,1393,1088,2,1086,19,10,0,1,0,0,1,487,0,0,0,0,0,0,0,142,7,336,1,0,0,0,32,1,2,0,0,0,0,0,0,47
18,352,GEVULOT,גבולות,352,300,188,1,187,30,0,2,0,1,0,0,3,0,1,0,0,0,0,0,0,28,13,56,0,0,0,53,0,0,0,0,0,0,0,0,0
5,353,#N/A,בית זיד,353,114,74,5,69,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,40,0,0,0,0,1,0,0,1,1
18,354,REVIVIM,רביבים,354,700,437,3,434,134,0,3,0,0,0,0,4,0,0,0,0,0,0,3,2,37,18,53,0,0,0,180,0,0,0,0,0,0,0,0,0
19,355,HORESHIM,חורשים,355,294,198,0,198,19,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,7,33,56,0,0,0,78,0,0,0,0,0,0,0,0,0
3,356,HAGOSHERIM,הגושרים,356,636,451,2,449,71,1,2,0,0,0,0,6,0,1,0,0,0,0,1,3,17,52,48,0,0,0,243,0,0,1,0,0,0,0,0,3
3,357,KEFAR BLUM,כפר בלום,357,724,492,2,490,72,2,4,0,0,0,0,20,0,0,0,0,0,0,0,1,16,68,62,0,0,0,244,0,0,0,0,0,0,0,0,1
17,358,YAD MORDEKHAY,יד מרדכי,358,694,535,4,531,74,1,5,0,0,0,1,7,0,4,0,0,0,0,0,4,13,56,119,0,0,0,240,0,1,0,0,0,0,0,0,6
17,359,NIZZANIM,ניצנים,359,347,254,0,254,51,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,7,8,42,0,0,0,139,0,0,0,0,0,1,0,0,0
9,360,GIV'AT NILI,"גבעת ניל""י",360,431,329,0,329,27,1,0,2,0,0,48,9,0,1,0,0,0,0,0,0,8,119,19,0,0,0,91,0,1,0,0,0,0,0,0,3
17,362,RUHAMA,רוחמה,362,502,347,0,347,46,1,0,0,0,0,3,6,0,0,0,0,0,0,0,0,11,11,94,0,0,0,175,0,0,0,0,0,0,0,0,0
13,363,HAFEZ HAYYIM,חפץ חיים,363,335,284,0,284,3,6,0,0,0,0,0,183,0,0,0,0,0,0,0,22,3,60,0,0,0,0,6,0,0,0,0,0,0,0,0,1
2,364,KEFAR URIYYA,כפר אוריה,364,541,424,0,424,30,0,1,0,0,0,81,25,0,1,0,1,0,0,0,2,7,66,66,0,0,0,140,0,0,0,0,0,0,0,0,4
4,365,BET QESHET,בית קשת,365,480,353,0,353,57,0,1,0,2,0,0,4,0,2,0,0,0,0,0,1,5,19,125,0,0,0,137,0,0,0,0,0,0,0,0,0
3,366,SHAMIR,שמיר,366,678,498,0,498,57,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,9,25,131,0,0,0,269,0,0,0,0,0,0,0,0,0
5,367,EN HAEMEQ,עין העמק,367,585,467,0,467,19,1,0,0,0,0,2,20,0,1,0,0,0,0,0,5,7,293,16,0,0,0,82,0,0,0,0,0,0,0,0,21
3,368,BIRIYYA,ביריה,368,592,434,0,434,17,13,0,0,0,0,0,23,0,1,0,0,0,0,0,31,11,238,3,0,0,0,38,0,0,0,0,0,0,1,0,58
5,369,GAL'ED (EVEN YIZHAQ),גלעד (אבן יצחק),369,370,274,0,274,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,41,0,0,0,165,0,0,0,0,0,0,0,0,0
12,370,GEZER,גזר,370,385,205,1,204,25,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,6,13,47,0,0,0,106,0,0,0,0,0,0,0,0,0
3,372,RAMOT NAFTALI,רמות נפתלי,372,439,317,3,314,46,1,0,0,0,0,1,10,0,2,0,0,0,0,0,3,9,78,17,0,0,0,136,0,2,0,0,0,0,0,0,9
10,373,BET HALEWI,בית הלוי,373,533,428,1,427,23,0,0,0,1,0,70,6,0,0,0,0,0,0,0,1,10,43,53,0,0,0,217,1,0,0,0,0,0,0,1,1
4,374,HUQOQ,חוקוק,374,457,307,0,307,89,0,3,0,0,0,1,8,0,0,0,0,1,0,0,4,9,15,61,0,0,0,115,0,0,1,0,0,0,0,0,0
9,375,MAGGAL,מגל,375,800,642,0,642,95,1,1,0,1,0,2,10,0,0,0,0,0,0,0,0,12,18,114,0,0,0,388,0,0,0,0,0,0,0,0,0
6,376,EVRON,עברון,376,668,525,1,524,96,1,1,0,0,0,2,2,0,1,0,0,0,0,0,0,28,22,141,0,0,0,229,0,0,0,0,0,0,0,0,1
10,377,HAMA'PIL,המעפיל,377,630,473,1,472,39,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,23,148,1,0,0,243,0,0,0,0,0,0,0,0,1
3,378,MISGAV AM,משגב עם,378,252,172,2,170,33,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,11,7,23,0,0,0,90,0,0,0,0,0,1,0,0,0
10,379,GE'ULIM,גאולים,379,689,526,2,524,35,3,0,0,0,0,80,26,0,1,0,0,0,0,0,6,8,149,19,0,0,0,172,0,1,0,0,0,1,0,0,23
3,380,LAHAVOT HABASHAN,להבות הבשן,380,678,470,2,468,56,2,9,0,0,0,2,9,0,1,0,0,0,0,0,1,17,32,131,0,0,0,206,0,0,1,1,0,0,0,0,0
10,382,MIKHMORET,מכמורת,382,1055,711,2,709,44,1,2,1,0,0,0,14,0,0,0,0,0,0,0,2,17,42,125,0,0,0,460,0,0,0,0,0,0,0,0,1
5,383,EN HANAZIV,"עין הנצי""ב",383,424,312,1,311,15,2,2,0,0,0,2,183,0,0,0,0,0,0,0,10,1,40,6,0,0,0,49,0,0,0,1,0,0,0,0,0
3,385,AMMI'AD,עמיעד,385,432,276,1,275,48,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,4,11,52,0,0,0,153,0,0,0,0,0,0,0,0,1
10,386,BENE DEROR,בני דרור,386,986,789,1,788,79,0,0,1,0,0,3,24,0,0,0,0,0,0,0,4,29,113,68,0,0,0,461,0,0,0,0,0,0,0,0,6
10,387,KEFAR MONASH,כפר מונש,387,628,495,0,495,33,2,3,0,0,0,10,9,0,0,0,0,0,0,0,1,13,38,64,0,0,0,321,0,0,0,0,0,0,0,1,0
4,388,KEFAR KISCH,כפר קיש,388,439,316,1,315,28,0,0,0,0,0,4,17,0,0,0,0,0,0,0,6,15,49,23,1,0,0,167,0,0,2,0,0,0,0,0,3
10,389,BAZRA,בצרה,389,777,600,0,600,38,2,1,0,0,0,37,18,0,0,0,0,0,0,0,0,22,59,57,0,0,0,364,0,0,0,0,0,0,0,0,2
6,390,REGBA,רגבה,390,809,580,0,580,68,0,0,2,0,0,2,7,0,1,0,0,0,0,0,3,22,90,38,0,0,0,343,0,0,0,0,0,0,0,0,4
17,393,GAL'ON,גלאון,393,456,318,0,318,31,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,5,102,0,0,0,167,0,0,0,0,0,0,0,0,0
18,394,SHOVAL,שובל,394,618,488,2,486,79,0,2,0,0,0,1,5,0,0,0,0,0,0,0,2,12,18,120,0,0,0,244,1,0,0,0,0,0,0,0,2
18,395,MISHMAR HANEGEV,משמר הנגב,395,777,526,3,523,135,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,26,51,50,0,0,0,246,1,1,0,0,0,0,0,0,0
18,396,NEVATIM,נבטים,396,739,564,0,564,35,1,6,0,0,0,109,33,0,0,0,0,0,0,0,13,20,142,6,0,0,0,188,0,0,0,0,0,0,0,0,11
18,397,HAZERIM,חצרים,397,816,590,1,589,100,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,85,0,0,0,368,0,1,0,0,0,0,0,0,1
18,398,SHARSHERET,שרשרת,398,245,190,0,190,1,9,0,0,0,0,5,28,0,0,0,0,0,0,0,22,3,97,1,0,0,0,6,0,0,0,0,0,0,0,0,18
18,399,BE'ERI,בארי,399,852,649,1,648,209,1,2,0,0,0,1,7,0,2,0,0,0,0,0,2,13,19,144,0,0,0,247,0,0,0,0,0,0,1,0,0
17,400,EVEN SHEMU'EL,אבן שמואל,400,900,777,4,773,12,25,0,0,0,0,0,324,0,0,0,0,0,0,0,82,6,250,1,0,0,0,8,0,0,0,0,0,0,0,0,65
18,402,NIR YIZHAQ,ניר יצחק,402,574,384,2,382,44,0,6,0,0,0,2,2,0,0,0,0,0,0,0,1,7,7,162,1,0,0,150,0,0,0,0,0,0,0,0,0
18,403,URIM,אורים,403,442,243,2,241,51,1,3,0,0,0,1,1,0,0,0,0,0,0,0,1,12,12,33,0,0,0,126,0,0,0,0,0,0,0,0,0
2,405,NEWE ILAN,נווה אילן,405,690,480,1,479,46,1,3,0,0,0,1,14,1,0,0,0,1,0,0,4,19,89,68,0,0,0,225,0,1,0,0,0,0,0,0,6
17,406,HAZOR-ASHDOD,חצור-אשדוד,406,665,451,0,451,40,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,9,10,155,0,0,0,229,0,0,0,0,0,1,0,0,2
5,407,DAVERAT,דברת,407,313,217,1,216,28,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,9,14,11,0,0,0,144,0,0,0,0,0,0,0,0,3
3,408,NE'OT MORDEKHAY,נאות מרדכי,408,509,349,1,348,57,1,0,0,1,0,0,10,0,1,0,0,0,0,0,3,15,23,43,0,0,0,189,1,0,0,0,0,0,0,0,4
6,409,YEHI'AM,יחיעם,409,553,370,5,365,43,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,11,46,88,0,0,0,169,0,0,0,0,0,0,0,0,0
18,413,ZE'ELIM,צאלים,413,399,277,0,277,94,1,2,0,0,0,1,4,0,0,0,0,0,0,0,2,8,25,35,0,0,0,105,0,0,0,0,0,0,0,0,0
