Lamas_Code,CityLMSName,2019 cluster,2017 cluster
1180,ZVIYYA,8,8
1235,SHORASHIM,8,9
1202,MIKHMANNIM,8,8
1228,RAQQEFET,9,9
1207,LAVON,9,9
1160,SHEKHANYA,9,9
1174,MANOF,9,9
1222,MIZPE AVIV,9,9
1221,ZURIT,9,9
1181,TAL-EL,9,9
1226,YUVALLIM,9,10
1204,GILON,9,10
917,ATSMON SEGEV,9,10
1179,QORANIT,9,10
1138,YA'AD,9,9
1348,BIR HADAGE,1,1
1375,ABU TULUL,1,1
1347,QASR A-SIR,1,1
1342,ABU QUREINAT,1,1
440,YESODOT,2,2
2033,BET HILQIYYA,2,2
577,YAD BINYAMIN,5,5
363,HAFEZ HAYYIM,6,6
1372,NEZER HAZZANI,6,6
588,BENE RE'EM,7,7
1371,GANNE TAL,7,7
264,SHA'AR HAGOLAN,5,4
57,KINNERET(QEVUZA),5,4
273,EN GEV,5,5
702,HAON,5,5
374,HUQOQ,6,6
1105,PORIYYA-NEWE OVED,6,6
176,AFIQIM,6,6
62,DEGANYA ALEF,6,4
262,GINNOSAR,6,6
143,BET ZERA,6,6
263,MASSADA,6,7
79,DEGANYA BET,7,7
1104,PORIYYA-KEFAR AVODA,7,7
188,ASHDOT YA'AQOV(ME'UHAD),7,7
1313,PORIYYA ILLIT,7,7
719,TEL QAZIR,7,7
199,ASHDOT YA'AQOV(IHUD),7,7
330,ALUMMOT,7,7
678,MA'AGAN,7,7
1125,ALMAGOR,8,8
63,KINNERET(MOSHAVA),8,8
304,SEDE ELIYYAHU,3,3
268,TIRAT ZEVI,4,4
2016,REWAYA,5,4
1282,MERAV,5,4
383,EN HANAZIV,5,4
854,REHOV,5,5
1127,MA'ALE GILBOA,5,6
296,NEWE ETAN,5,6
265,BET YOSEF,5,5
2026,YARDENA,6,6
48,MENAHEMYA,6,6
298,MESILLOT,6,5
295,KEFAR RUPPIN,6,7
2057,SEDE TERUMOT,6,7
439,SHELUHOT,7,6
1283,TEL TE'OMIM,7,6
256,NIR DAWID (TEL AMAL),7,7
305,GESHER,7,7
590,NEWE UR,7,7
259,SEDE NAHUM,7,7
437,RESHAFIM,7,7
343,HAMADYA,7,7
272,MA'OZ HAYYIM,7,7
1318,MEVO'OT YAM,1,1
186,NE'URIM,3,3
897,MIDRESHET RUPPIN,5,4
197,MA'BAROT,6,5
224,SHOSHANNAT HAAMAQIM,6,6
217,KEFAR HARO'E,6,5
872,GE'ULE TEMAN,6,7
422,HEREV LE'ET,6,7
173,GIV'AT HAYYIM(ME'UHAD),7,7
194,MISHMAR HASHARON,7,7
204,ELYASHIV,7,7
850,AHITUV,7,7
167,EN HAHORESH,7,7
2018,GIV'AT HAYYIM (IHUD),7,7
235,HAVAZZELET HASHARON,8,5
698,BURGETA,8,8
423,HAOGEN,8,8
1319,BAT HEFER,8,8
758,YAD HANNA,8,9
377,HAMA'PIL,8,8
252,BITAN AHARON,8,6
680,OMEZ,9,9
737,OLESH,9,8
205,HOGLA,9,9
387,KEFAR MONASH,9,9
382,MIKHMORET,9,9
734,GAN YOSHIYYA,9,9
233,KEFAR YEDIDYA,9,9
807,HANNI'EL,9,9
219,HIBBAT ZIYYON,9,9
2043,BAHAN,9,9
193,KEFAR HAYYIM,9,9
373,BET HALEWI,9,9
1102,ZUQI YAM,9,9
697,BE'EROTAYIM,9,9
175,AVIHAYIL,9,9
326,BET YIZHAQ-SH. HEFER,9,9
115,HOFIT,9,9
190,KEFAR VITKIN,9,9
877,BET HERUT,9,9
191,HADAR AM,9,9
1361,BAT HEN,9,9
200,BET YANNAY,10,9
1077,GIV'AT SHAPPIRA,10,10
942,SAWA'ID(HAMRIYYE),2,1
994,MANSHIYYET ZABDA,3,3
106,KEFAR GID'ON,4,4
104,MIZRA,7,7
66,MERHAVYA(QIBBUZ),7,7
142,SEDE YA'AQOV,7,7
457,GAZIT,7,7
1249,HARDUF,7,6
407,DAVERAT,7,7
285,ALLONIM,7,7
436,EN DOR,7,7
132,KEFAR BARUKH,7,7
134,YIF'AT,7,7
135,RAMAT DAWID,7,8
92,GINNEGAR,7,7
126,SARID,7,7
1330,AHUZZAT BARAQ,8,8
103,TEL ADASHIM,8,8
80,NAHALAL,8,8
140,KEFAR YEHOSHUA,8,8
1257,HANNATON,8,9
1186,HOSHA'AYA,8,9
133,GEVAT,8,9
248,BET SHE'ARIM,8,9
192,KEFAR HAHORESH,8,9
94,BALFURYA,8,9
613,ZIPPORI,8,9
684,HAYOGEV,8,9
97,MERHAVYA(MOSHAV),8,9
677,HASOLELIM,9,9
430,BET LEHEM HAGELILIT,9,9
1337,SHIMSHIT,9,9
1182,ALLON HAGALIL,9,9
429,ALLONE ABBA,9,9
1199,ADI,9,9
1244,TIMRAT,10,10
1288,GIV'AT ELA,10,10
696,KEFAR HABAD,4,4
797,AHI'EZER,5,4
798,YAGEL,6,5
788,ZETAN,6,6
801,HEMED,7,7
594,ZAFRIYYA,7,7
729,MISHMAR HASHIV'A,9,9
331,NIR ZEVI,9,9
836,GANNOT,9,9
3785,MASKIYYOT,2,3
3607,YITAV,4,3
3782,ROTEM,4,3
3609,HAMRA,5,7
3606,GILGAL,5,5
3646,HEMDAT,5,5
3578,SHADMOT MEHOLA,5,6
3613,GITTIT,6,5
3599,MEHOLA,6,6
3566,YAFIT,6,6
3619,RO'I,7,7
3598,ARGAMAN,7,8
3614,MEKHORA,8,7
3612,BEQA'OT,8,9
3713,NA'AMA,8,9
3605,MASSU'A,8,9
3555,NETIV HAGEDUD,8,9
3615,PEZA'EL,9,9
3558,TOMER,9,9
1195,NIZZANA (QEHILAT HINUH),4,3
354,REVIVIM,5,4
1340,MERHAV AM,5,4
885,SEDE BOQER,5,4
421,MASH'ABBE SADE,5,5
1278,BE'ER MILKA,6,5
1260,RETAMIM,7,7
1152,ASHALIM,7,7
1140,MIDRESHET BEN GURION,7,7
1291,KEMEHIN,7,7
1177,TELALIM,7,7
1280,NIZZANE SINAY,8,8
803,YOSHIVYA,3,3
1146,ALUMIM,3,4
2064,ZERU'A,5,5
1083,TUSHIYYA,5,5
419,SA'AD,5,5
761,SHUVA,5,5
2044,MELILOT,5,4
723,BET HAGADDI,6,6
415,SHOQEDA,6,5
865,SHIBBOLIM,6,6
398,SHARSHERET,6,6
2014,GIV'OLIM,6,6
1065,ZIMRAT,6,6
1082,MA'GALIM,6,6
1095,KEFAR MAYMON,7,7
665,TEQUMA,8,8
3749,YIZHAR,2,2
3710,BERAKHA,3,3
3762,ITAMAR,3,3
3572,KEFAR TAPPUAH,4,4
3579,ELON MORE,4,4
3571,SHAVE SHOMERON,5,5
3569,MEVO DOTAN,5,5
3793,AVNE HEFEZ,5,5
3643,HINNANIT,5,5
3717,HERMESH,5,5
3712,ENAV,6,6
3795,REVAVA,6,5
3744,BRUKHIN,6,6
3637,MA'ALE SHOMERON,6,6
3790,NOFIM,6,5
3746,QIRYAT NETAFIM,6,6
3822,REHELIM,6,6
3751,MIGDALIM,6,5
3647,YAQIR,7,6
3768,PEDU'EL,7,7
3778,EZ EFRAYIM,7,7
3727,ALE ZAHAV,7,6
3649,SHAQED,7,7
3568,REHAN,7,7
3791,ZUFIM,7,7
3720,SHA'ARE TIQWA,7,7
3654,BARQAN,8,8
3567,SAL'IT,9,9
338,IBBIM,1,1
811,YAKHINI,7,7
844,NAHAL OZ,7,7
362,RUHAMA,7,8
348,NIR AM,8,8
714,EREZ,8,7
424,GEVIM,8,8
668,MEFALLESIM,8,8
67,OR HANER,8,8
336,DOROT,8,8
845,KEFAR AZZA,8,9
428,BEROR HAYIL,9,9
766,QOMEMIYYUT,1,1
1145,ALUMMA,3,3
37,ETAN,5,4
15,NO'AM,5,4
818,ZERAHYA,5,4
815,ZAVDI'EL,5,4
620,MASSU'OT YIZHAQ,5,5
826,UZA,5,5
873,SHALWA,5,4
2051,REWAHA,5,5
622,EN ZURIM,6,6
1098,MERKAZ SHAPPIRA,6,6
400,EVEN SHEMU'EL,6,4
692,SHAFIR,7,7
2042,EN GEDI,6,4
1261,HAR AMASA,7,6
1124,NE'OT HAKIKKAR,8,8
1251,EN TAMAR,10,9
