"","city_lms_name","city_lms_code","num_of_rooms","floor","total_area","validity_date","company_name","status_name","status_change_date","property_type_name","city_lms_name_translated","company_name_translated","status_name_translated","property_type_name_translated"
"207","Arad",2560,2,4,38,"23/05/2024","Amidar","free","04/05/2023","Apartment","Arad","Amidar","free","Apartment"
"208","Dimona",2200,3,4,74,"23/05/2024","Amidar","free","31/12/2023","Apartment","Dimona","Amidar","free","Apartment"
"209","Acre",7600,2,4,54,"23/05/2024","Amidar","free","06/06/2023","Apartment","Acre","Amidar","free","Apartment"
"210","Nof Hagalil",1061,3,3,48,"23/05/2024","Amidar","free","28/11/2022","Apartment","Nof Hagalil","Amidar","free","Apartment"
"211","Beit Shemesh",2610,3,3,81,"23/05/2024","Amidar","free","13/08/2023","Apartment","Beit Shemesh","Amidar","free","Apartment"
"212","Katzrin",4100,2,1,52,"23/05/2024","Co. Ltd","free","10/12/2023","Apartment","Katzrin","Co. Ltd","free","Apartment"
"213","Migdal Haemek",874,3,4,72,"23/05/2024","Amigur","free","31/01/2024","Apartment","Migdal Haemek","Amigur","free","Apartment"
"214","Sderot",1031,3,3,61,"23/05/2024","Amigur","free","28/12/2022","Apartment","Sderot","Amigur","free","Apartment"
"215","Ofakim",31,2,3,55,"23/05/2024","Amigur","free","12/03/2023","Apartment","Ofakim","Amigur","free","Apartment"
"216","Yeruham",831,2,3,53,"23/05/2024","Amidar","free","21/07/2021","Apartment","Yeruham","Amidar","free","Apartment"
"217","Yeruham",831,3,3,54,"23/05/2024","Amidar","free","13/06/2022","Apartment","Yeruham","Amidar","free","Apartment"
"218","Dimona",2200,2.5,3,50,"23/05/2024","Amidar","free","31/12/2020","Apartment","Dimona","Amidar","free","Apartment"
"219","Yeruham",831,3,1,52.7,"23/05/2024","Amidar","free","13/02/2024","Apartment","Yeruham","Amidar","free","Apartment"
"220","Afula",7700,2,2,45.8,"23/05/2024","Amidar","free","15/03/2022","Apartment","Afula","Amidar","free","Apartment"
"221","Afula",7700,2,2,45.8,"23/05/2024","Amidar","free","15/03/2022","Apartment","Afula","Amidar","free","Apartment"
"222","Beer Sheva",9000,2.5,3,42.4,"23/05/2024","Amidar","free","25/04/2023","Apartment","Beer Sheva","Amidar","free","Apartment"
"223","Dimona",2200,3,3,59,"23/05/2024","Amidar","free","14/05/2020","Apartment","Dimona","Amidar","free","Apartment"
"224","Dimona",2200,3,4,70,"23/05/2024","Amidar","free","27/04/2021","Apartment","Dimona","Amidar","free","Apartment"
"225","Mitzpe Ramon",99,2.5,2,53.9,"23/05/2024","Amidar","free","05/03/2023","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"226","Yeruham",831,3,3,60,"23/05/2024","Amidar","free","30/09/2020","Apartment","Yeruham","Amidar","free","Apartment"
"227","Afula",7700,3,3,58.7,"23/05/2024","Amidar","free","13/02/2024","Apartment","Afula","Amidar","free","Apartment"
"228","Afula",7700,3,3,58.7,"23/05/2024","Amidar","free","13/02/2024","Apartment","Afula","Amidar","free","Apartment"
"229","Kiryat Shmona",2800,2,3,67.5,"23/05/2024","Amidar","free","07/11/2021","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"230","Kiryat Gat",2630,2,3,48,"23/05/2024","Amidar","free","06/02/2024","Apartment","Kiryat Gat","Amidar","free","Apartment"
"231","Yeruham",831,3,2,65,"23/05/2024","Amidar","free","04/03/2019","Apartment","Yeruham","Amidar","free","Apartment"
"232","Dimona",2200,2,2,50,"23/05/2024","Amidar","free","22/02/2024","Apartment","Dimona","Amidar","free","Apartment"
"233","Yeruham",831,2,1,48,"23/05/2024","Amidar","free","15/03/2023","Apartment","Yeruham","Amidar","free","Apartment"
"234","Afula",7700,3,4,62.5,"23/05/2024","Amidar","free","14/01/2021","Apartment","Afula","Amidar","free","Apartment"
"235","Afula",7700,3,4,62.5,"23/05/2024","Amidar","free","14/01/2021","Apartment","Afula","Amidar","free","Apartment"
"236","Yeruham",831,2,3,48,"23/05/2024","Amidar","free","08/08/2023","Apartment","Yeruham","Amidar","free","Apartment"
"237","Afula",7700,2,2,47.1,"23/05/2024","Amidar","free","04/01/2021","Apartment","Afula","Amidar","free","Apartment"
"238","Afula",7700,2,2,47.1,"23/05/2024","Amidar","free","04/01/2021","Apartment","Afula","Amidar","free","Apartment"
"239","Yeruham",831,3,2,76,"23/05/2024","Amidar","free","28/12/2021","Apartment","Yeruham","Amidar","free","Apartment"
"240","Yeruham",831,3,3,54,"23/05/2024","Amidar","free","24/03/2020","Apartment","Yeruham","Amidar","free","Apartment"
"241","Arad",2560,2.5,4,47,"23/05/2024","Amidar","free","08/07/2021","Apartment","Arad","Amidar","free","Apartment"
"242","Atlit",53,3,3,56,"23/05/2024","Amidar","free","23/01/2024","Apartment","Atlit","Amidar","free","Apartment"
"243","Beer Sheva",9000,3.5,3,70,"23/05/2024","Amidar","free","05/09/2023","Apartment","Beer Sheva","Amidar","free","Apartment"
"244","Dimona",2200,2.5,3,48,"23/05/2024","Amidar","free","21/06/2020","Apartment","Dimona","Amidar","free","Apartment"
"245","Katzrin",4100,1,0,34,"23/05/2024","Co. Ltd","free","01/01/2022","Apartment","Katzrin","Co. Ltd","free","Apartment"
"246","Katzrin",4100,2,2,48,"23/05/2024","Co. Ltd","free","01/01/2021","Apartment","Katzrin","Co. Ltd","free","Apartment"
"247","Ofakim",31,2,3,54,"23/05/2024","Amigur","free","03/04/2023","Apartment","Ofakim","Amigur","free","Apartment"
"248","Dimona",2200,3,3,53.1,"23/05/2024","Amidar","free","06/06/2021","Apartment","Dimona","Amidar","free","Apartment"
"249","Beer Sheva",9000,2,3,47,"23/05/2024","Amidar","free","12/11/2023","Apartment","Beer Sheva","Amidar","free","Apartment"
"250","Beit Shean",9200,3,3,84,"23/05/2024","Amidar","free","16/11/2023","Apartment","Beit Shean","Amidar","free","Apartment"
"251","Beer Sheva",9000,2.5,4,54.4,"23/05/2024","Amidar","free","29/12/2020","Apartment","Beer Sheva","Amidar","free","Apartment"
"252","Gadida-Makr",1292,3,3,71,"23/05/2024","Amidar","free","03/11/2021","Apartment","Gadida-Makr","Amidar","free","Apartment"
"253","Dimona",2200,3,3,62,"23/05/2024","Amidar","free","16/02/2021","Apartment","Dimona","Amidar","free","Apartment"
"254","Dimona",2200,3,2,53.1,"23/05/2024","Amidar","free","26/09/2023","Apartment","Dimona","Amidar","free","Apartment"
"255","Mitzpe Ramon",99,3,2,64.8,"23/05/2024","Amidar","free","20/04/2023","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"256","Yeruham",831,2,1,48,"23/05/2024","Amidar","free","06/10/2021","Apartment","Yeruham","Amidar","free","Apartment"
"257","Mitzpe Ramon",99,3,3,64.8,"23/05/2024","Amidar","free","09/08/2020","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"258","Mitzpe Ramon",99,3,1,65,"23/05/2024","Amidar","free","01/06/2023","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"259","Dimona",2200,2,2,46.3,"23/05/2024","Amidar","free","14/02/2024","Apartment","Dimona","Amidar","free","Apartment"
"260","Beer Sheva",9000,2,4,56,"23/05/2024","Amidar","free","20/12/2023","Apartment","Beer Sheva","Amidar","free","Apartment"
"261","Arad",2560,2,4,38,"23/05/2024","Amidar","free","09/11/2023","Apartment","Arad","Amidar","free","Apartment"
"262","Afula",7700,2,4,55.5,"23/05/2024","Amidar","free","15/12/2019","Apartment","Afula","Amidar","free","Apartment"
"263","Afula",7700,2,4,55.5,"23/05/2024","Amidar","free","15/12/2019","Apartment","Afula","Amidar","free","Apartment"
"264","Mitzpe Ramon",99,4,4,89,"23/05/2024","Amidar","free","07/06/2020","Apartment","Mitzpe Ramon","Amidar","free","Apartment"
"265","Beit Shean",9200,3.5,3,68.4,"23/05/2024","Amidar","free","28/01/2024","Apartment","Beit Shean","Amidar","free","Apartment"
"266","Nof Hagalil",1061,1,4,34,"23/05/2024","Amidar","free","03/01/2023","Apartment","Nof Hagalil","Amidar","free","Apartment"
"267","Kiryat Shmona",2800,2,4,57,"23/05/2024","Amidar","free","12/06/2022","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"268","Dimona",2200,2,3,52,"23/05/2024","Amidar","free","07/02/2024","Apartment","Dimona","Amidar","free","Apartment"
"269","Kiryat Shmona",2800,3,3,57.8,"23/05/2024","Amidar","free","23/10/2022","Apartment","Kiryat Shmona","Amidar","free","Apartment"
"270","Yeruham",831,2,2,44,"23/05/2024","Amidar","free","15/03/2023","Apartment","Yeruham","Amidar","free","Apartment"
"271","Beer Sheva",9000,2.5,3,42.4,"23/05/2024","Amidar","free","07/07/2020","Apartment","Beer Sheva","Amidar","free","Apartment"
"272","Haifa",4000,1,1,26.5,"23/05/2024","Amidar","free","10/03/2022","Apartment","Haifa","Amidar","free","Apartment"
"273","Tirat Carmel",2100,2,4,45,"23/05/2024","Amidar","free","31/10/2023","Apartment","Tirat Carmel","Amidar","free","Apartment"
"274","Hazor HaGalilit",2034,2,5,50,"23/05/2024","Amidar","free","02/09/2021","Apartment","Hazor HaGalilit","Amidar","free","Apartment"
"275","Arad",2560,2,4,38,"23/05/2024","Amidar","free","21/07/2021","Apartment","Arad","Amidar","free","Apartment"
"276","Afula",7700,2,4,47,"23/05/2024","Amidar","free","01/09/2020","Apartment","Afula","Amidar","free","Apartment"
"277","Afula",7700,2,4,47,"23/05/2024","Amidar","free","01/09/2020","Apartment","Afula","Amidar","free","Apartment"
