CODE OF LOCALITY,NAME OF LOCALITY,INDEX POPULATION 2019, CLUSTER 2019, CLUSTER 2017
296,NEWE ETAN,311,5,6
265,BET YOSEF,481,5,5
2026,YARDENA,371,6,6
48,MENAHEMYA,"1,033",6,6
298,MESILLOT,433,6,5
295,KEFAR RUPPIN,526,6,7
2057,SEDE TERUMOT,463,6,7
439,SHELUHOT,451,7,6
1283,TEL TE'OMIM,575,7,6
256,NIR DAWID (TEL AMAL),729,7,7
305,GESHER,417,7,7
590,NEWE UR,349,7,7
259,SEDE NAHUM,801,7,7
437,RESHAFIM,"1,089",7,7
343,HAMADYA,381,7,7
272,MA'OZ HAYYIM,469,7,7
1318,MEVO'OT YAM,436,1,1
186,NE'URIM,419,3,3
897,MIDRESHET RUPPIN,307,5,4
197,MA'BAROT,978,6,5
224,SHOSHANNAT HAAMAQIM,505,6,6
217,KEFAR HARO'E,"1,460",6,5
872,GE'ULE TEMAN,359,6,7
422,HEREV LE'ET,972,6,7
173,GIV'AT HAYYIM(ME'UHAD),"1,010",7,7
194,MISHMAR HASHARON,617,7,7
204,ELYASHIV,714,7,7
850,AHITUV,"1,093",7,7
167,EN HAHORESH,836,7,7
2018,GIV'AT HAYYIM (IHUD),"1,176",7,7
235,HAVAZZELET HASHARON,468,8,5
698,BURGETA,"1,136",8,8
423,HAOGEN,918,8,8
1319,BAT HEFER,"5,301",8,8
758,YAD HANNA,968,8,9
377,HAMA'PIL,863,8,8
252,BITAN AHARON,152,8,6
680,OMEZ,849,9,9
737,OLESH,"1,131",9,8
205,HOGLA,865,9,9
387,KEFAR MONASH,943,9,9
382,MIKHMORET,"1,403",9,9
734,GAN YOSHIYYA,997,9,9
233,KEFAR YEDIDYA,730,9,9
807,HANNI'EL,923,9,9
219,HIBBAT ZIYYON,727,9,9
2043,BAHAN,995,9,9
193,KEFAR HAYYIM,648,9,9
373,BET HALEWI,828,9,9
1102,ZUQI YAM,268,9,9
697,BE'EROTAYIM,"1,143",9,9
175,AVIHAYIL,"1,422",9,9
326,BET YIZHAQ-SH. HEFER,"2,131",9,9
115,HOFIT,774,9,9
190,KEFAR VITKIN,"1,973",9,9
877,BET HERUT,916,9,9
191,HADAR AM,675,9,9
1361,BAT HEN,412,9,9
200,BET YANNAY,372,10,9
1077,GIV'AT SHAPPIRA,388,10,10
942,SAWA'ID(HAMRIYYE),182,2,1
994,MANSHIYYET ZABDA,"1,389",3,3
106,KEFAR GID'ON,346,4,4
104,MIZRA,756,7,7
66,MERHAVYA(QIBBUZ),"1,234",7,7
142,SEDE YA'AQOV,"1,103",7,7
457,GAZIT,736,7,7
1249,HARDUF,922,7,6
407,DAVERAT,468,7,7
285,ALLONIM,515,7,7
436,EN DOR,"1,017",7,7
132,KEFAR BARUKH,602,7,7
134,YIF'AT,"1,184",7,7
135,RAMAT DAWID,504,7,8
92,GINNEGAR,677,7,7
126,SARID,836,7,7
1330,AHUZZAT BARAQ,"2,279",8,8
103,TEL ADASHIM,"1,504",8,8
80,NAHALAL,930,8,8
140,KEFAR YEHOSHUA,"1,224",8,8
1257,HANNATON,982,8,9
1186,HOSHA'AYA,"2,051",8,9
133,GEVAT,919,8,9
248,BET SHE'ARIM,766,8,9
192,KEFAR HAHORESH,695,8,9
94,BALFURYA,528,8,9
613,ZIPPORI,849,8,9
684,HAYOGEV,711,8,9
97,MERHAVYA(MOSHAV),662,8,9
677,HASOLELIM,932,9,9
430,BET LEHEM HAGELILIT,843,9,9
1337,SHIMSHIT,"2,514",9,9
1182,ALLON HAGALIL,"1,118",9,9
429,ALLONE ABBA,992,9,9
1199,ADI,"1,910",9,9
1244,TIMRAT,"1,292",10,10
1288,GIV'AT ELA,"1,964",10,10
696,KEFAR HABAD,"6,524",4,4
797,AHI'EZER,"1,794",5,4
798,YAGEL,918,6,5
788,ZETAN,"1,064",6,6
801,HEMED,"1,316",7,7
594,ZAFRIYYA,971,7,7
729,MISHMAR HASHIV'A,"1,047",9,9
331,NIR ZEVI,"1,286",9,9
836,GANNOT,587,9,9
3785,MASKIYYOT,310,2,3
3607,YITAV,358,4,3
3782,ROTEM,228,4,3
3609,HAMRA,173,5,7
3606,GILGAL,203,5,5
3646,HEMDAT,295,5,5
3578,SHADMOT MEHOLA,666,5,6
3613,GITTIT,504,6,5
3599,MEHOLA,580,6,6
3566,YAFIT,202,6,6
3619,RO'I,175,7,7
3598,ARGAMAN,132,7,8
3614,MEKHORA,166,8,7
3612,BEQA'OT,182,8,9
3713,NA'AMA,165,8,9
3605,MASSU'A,184,8,9
3555,NETIV HAGEDUD,212,8,9
3615,PEZA'EL,304,9,9
3558,TOMER,276,9,9
1195,NIZZANA (QEHILAT HINUH),313,4,3
354,REVIVIM,"1,075",5,4
1340,MERHAV AM,501,5,4
885,SEDE BOQER,478,5,4
421,MASH'ABBE SADE,481,5,5
1278,BE'ER MILKA,188,6,5
1260,RETAMIM,537,7,7
1152,ASHALIM,568,7,7
1140,MIDRESHET BEN GURION,"1,972",7,7
1291,KEMEHIN,188,7,7
1177,TELALIM,543,7,7
1280,NIZZANE SINAY,286,8,8
803,YOSHIVYA,683,3,3
1146,ALUMIM,510,3,4
2064,ZERU'A,468,5,5
1083,TUSHIYYA,955,5,5
419,SA'AD,854,5,5
761,SHUVA,691,5,5
2044,MELILOT,360,5,4
723,BET HAGADDI,847,6,6
415,SHOQEDA,565,6,5
865,SHIBBOLIM,299,6,6
398,SHARSHERET,321,6,6
2014,GIV'OLIM,386,6,6
1065,ZIMRAT,624,6,6
1082,MA'GALIM,"2,061",6,6
1095,KEFAR MAYMON,375,7,7
665,TEQUMA,722,8,8
3749,YIZHAR,"1,726",2,2
3710,BERAKHA,"2,757",3,3
3762,ITAMAR,"1,269",3,3
3572,KEFAR TAPPUAH,"1,312",4,4
3579,ELON MORE,"1,920",4,4
3571,SHAVE SHOMERON,977,5,5
3569,MEVO DOTAN,448,5,5
3793,AVNE HEFEZ,"1,923",5,5
3643,HINNANIT,"1,391",5,5
3717,HERMESH,224,5,5
3712,ENAV,891,6,6
3795,REVAVA,"2,632",6,5
3744,BRUKHIN,"1,166",6,6
3637,MA'ALE SHOMERON,996,6,6
3790,NOFIM,864,6,5
3746,QIRYAT NETAFIM,958,6,6
3822,REHELIM,802,6,6
3751,MIGDALIM,447,6,5
3647,YAQIR,"2,288",7,6
3768,PEDU'EL,"2,010",7,7
3778,EZ EFRAYIM,"2,428",7,7
3727,ALE ZAHAV,"3,399",7,6
3649,SHAQED,962,7,7
3568,REHAN,330,7,7
3791,ZUFIM,"2,406",7,7
3720,SHA'ARE TIQWA,"6,039",7,7
3654,BARQAN,"1,895",8,8
3567,SAL'IT,"1,331",9,9
338,IBBIM,458,1,1
811,YAKHINI,734,7,7
844,NAHAL OZ,423,7,7
362,RUHAMA,679,7,8
348,NIR AM,611,8,8
714,EREZ,557,8,7
424,GEVIM,621,8,8
668,MEFALLESIM,"1,024",8,8
67,OR HANER,769,8,8
336,DOROT,843,8,8
845,KEFAR AZZA,720,8,9
428,BEROR HAYIL,935,9,9
766,QOMEMIYYUT,559,1,1
1145,ALUMMA,537,3,3
37,ETAN,464,5,4
15,NO'AM,355,5,4
818,ZERAHYA,729,5,4
815,ZAVDI'EL,559,5,4
620,MASSU'OT YIZHAQ,697,5,5
826,UZA,429,5,5
873,SHALWA,503,5,4
2051,REWAHA,551,5,5
622,EN ZURIM,863,6,6
1098,MERKAZ SHAPPIRA,"2,229",6,6
400,EVEN SHEMU'EL,"1,807",6,4
692,SHAFIR,920,7,7
2042,EN GEDI,610,6,4
1261,HAR AMASA,198,7,6
1124,NE'OT HAKIKKAR,447,8,8
1251,EN TAMAR,195,10,9
1192,AR'ARA-BANEGEV,"18,332",1,1
1054,TEL SHEVA,"20,808",1,1
1059,KUSEIFE,"21,809",1,1
3797,MODI'IN ILLIT,"76,373",1,1
1303,HURA,"22,337",1,1
1286,SEGEV-SHALOM,"10,936",1,1
1060,LAQYE,"14,075",1,1
3780,BETAR ILLIT,"59,268",1,1
1161,RAHAT,"71,390",1,1
3660,IMMANU'EL,"3,896",2,2
922,REKHASIM,"12,647",2,2
6100,BENE BERAQ,"203,229",2,2
541,JISR AZ-ZARQA,"14,930",2,2
510,KAFAR MANDA,"20,188",2,2
511,ILUT,"8,356",2,2
2610,BET SHEMESH,"124,813",2,2
1309,EL'AD,"48,760",2,2
2710,UMM AL-FAHM,"56,109",2,2
998,BIR EL-MAKSUR,"9,522",2,2
8000,ZEFAT,"36,056",2,2
520,MESHHED,"8,373",2,2
532,EIN MAHEL,"13,335",2,2
1137,QIRYAT YE'ARIM,"6,036",2,2
1327,MA'ALE IRON,"15,065",2,2
46,YAVNE'EL,"4,243",2,3
522,NAHEF,"13,113",2,2
538,SHA'AB,"7,061",2,2
3000,JERUSALEM,"934,639",2,3
509,KAFAR KANNA,"22,569",2,2
1326,BASMA,"10,010",2,2
482,BU'EINE-NUJEIDAT,"9,812",2,2
975,ZARZIR,"8,119",2,2
483,BI'NE,"8,381",2,2
4203,MAS'ADE,"3,714",2,2
4001,BUQ'ATA,"6,610",3,2
542,REINE,"18,961",3,3
4501,GHAJAR,"2,659",3,3
627,JALJULYE,"10,040",3,3
478,IKSAL,"14,676",3,3
962,TUBA-ZANGARIYYE,"6,776",3,3
978,KA'ABIYYE-TABBASH-HAJAJRE,"5,504",3,3
3611,QIRYAT ARBA,"7,326",3,3
499,YAFI,"19,151",3,3
944,BASMAT TAB'UN,"7,916",3,3
8900,TAMRA,"34,028",3,3
1292,JUDEIDE-MAKER,"21,163",3,3
531,ARRABE,"25,833",3,3
4502,EIN QINIYYE,"2,098",3,3
537,FUREIDIS,"13,247",3,3
498,TUR'AN,"14,240",3,3
504,KABUL,"14,095",3,3
481,MUGHAR,"22,957",3,3
4201,MAJDAL SHAMS,"11,180",3,3
638,QALANSAWE,"23,143",3,3
99,MIZPE RAMON,"5,211",3,3
913,SHIBLI-UMM AL-GHANAM,"6,053",3,3
516,MAJD AL-KURUM,"15,276",3,3
473,ABU SINAN,"14,099",3,3
2730,TAYIBE,"43,921",3,3
8800,SHEFAR'AM,"42,005",3,3
1296,KISRA-SUMEI,"8,818",3,3
502,YIRKA,"16,799",3,3
472,ABU GHOSH,"7,615",3,3
529,I'BILLIN,"13,199",3,3
246,NETIVOT,"37,542",3,3
2560,ARAD,"26,654",3,4
637,AR'ARA,"25,245",3,3
31,OFAQIM,"30,662",3,3
634,KAFAR QASEM,"23,823",3,3
7300,NAZARETH,"77,359",3,3
6000,BAQA AL-GHARBIYYE,"29,916",4,3
3574,BET EL,"5,973",4,3
7500,SAKHNIN,"31,642",4,3
492,DEIR HANNA,"10,339",4,3
1034,QIRYAT MAL'AKHI,"23,726",4,4
490,DEIR AL-ASAD,"12,514",4,3
6700,TIBERIAS,"44,315",4,4
7000,LOD,"76,883",4,4
525,SAJUR,"4,270",4,4
633,KAFAR BARA,"3,678",4,3
3608,MA'ALE EFRAYIM,"1,260",4,4
489,DABURIYYA,"10,510",4,3
831,YEROHAM,"10,294",4,4
517,MAZRA'A,"3,929",4,4
2034,HAZOR HAGELILIT,"9,262",4,4
1290,ZEMER,"7,094",4,4
505,KAOKAB ABU AL-HIJA,"3,589",4,4
2630,QIRYAT GAT,"56,805",4,4
480,BEIT JANN,"12,001",4,4
7600,AKKO,"49,048",4,4
1295,YANUH-JAT,"6,679",5,4
2720,TIRE,"26,463",5,4
496,HURFEISH,"6,410",5,4
8500,RAMLA,"74,482",5,4
874,MIGDAL HAEMEQ,"25,532",5,4
2200,DIMONA,"34,279",5,4
534,ISIFYA,"12,503",5,4
9200,BET SHE'AN,"18,388",5,4
494,DALIYAT AL-KARMEL,"17,653",5,4
7700,AFULA,"53,959",5,5
654,KAFAR QARA,"18,964",5,4
485,JULIS,"6,442",5,4
3730,GIV'AT ZE'EV,"18,420",5,5
70,ASHDOD,"225,084",5,4
1061,NOF HAGALIL,"41,612",5,5
4100,QAZRIN,"7,297",5,4
9600,QIRYAT YAM,"39,716",5,5
6200,BAT YAM,"128,600",5,5
1031,SEDEROT,"27,598",5,4
543,RAME,"7,728",5,4
2800,QIRYAT SHEMONA,"22,481",5,5
507,KAFAR YASIF,"10,005",5,4
536,PEQI'IN (BUQEI'A),"5,893",5,4
7100,ASHQELON,"143,578",5,5
628,JATT,"12,100",5,4
530,EILABUN,"5,692",5,5
1063,MA'ALOT-TARSHIHA,"21,772",5,5
1020,OR AQIVA,"18,798",5,5
3557,QEDUMIM,"4,544",5,5
9000,BE'ER SHEVA,"207,672",5,5
1247,HARISH,"13,232",5,5
2100,TIRAT KARMEL,"23,011",5,5
1066,BENE AYISH,"6,978",5,5
2400,OR YEHUDA,"36,699",5,5
469,QIRYAT EQRON,"11,001",6,5
7400,NETANYA,"220,614",6,6
65,MIGDAL,"1,834",6,5
1139,KARMI'EL,"46,173",6,6
6800,QIRYAT ATTA,"58,592",6,6
812,SHELOMI,"6,441",6,5
3640,QARNE SHOMERON,"8,135",6,6
2600,ELAT,"52,285",6,6
6500,HADERA,"96,559",6,6
3570,ARI'EL,"20,536",6,6
9100,NAHARIYYA,"58,003",6,6
535,FASSUTA,"3,172",6,6
508,KAFAR KAMA,"3,373",6,6
3616,MA'ALE ADUMMIM,"38,041",6,6
9500,QIRYAT BIALIK,"40,193",6,7
41,ELYAKHIN,"3,415",7,6
4000,HAIFA,"283,767",7,7
6600,HOLON,"196,026",7,7
8200,QIRYAT MOTZKIN,"43,303",7,7
487,JISH(GUSH HALAV),"3,105",7,6
2660,YAVNE,"47,585",7,7
3650,EFRAT,"10,806",7,7
565,AZOR,"12,812",7,7
466,BET DAGAN,"7,285",7,7
7900,PETAH TIQWA,"246,529",7,7
26,ROSH PINNA,"3,148",7,7
2500,NESHER,"24,148",7,7
8400,REHOVOT,"143,597",7,7
7800,PARDES HANNA-KARKUR,"42,614",7,7
2550,GEDERA,"27,782",7,7
8300,RISHON LEZIYYON,"253,520",7,7
166,GAN YAVNE,"23,868",7,7
240,YOQNE'AM ILLIT,"23,796",7,7
2640,ROSH HAAYIN,"61,408",7,7
168,KEFAR YONA,"24,720",7,7
2530,BE'ER YA'AQOV,"27,588",7,7
518,MI'ELYA,"3,131",7,7
3652,BET ARYE-OFARIM,"5,253",7,7
43,METULA,"1,615",7,8
29,YESUD HAMA'ALA,"1,730",7,8
9400,YEHUD,"29,928",7,8
3560,ELQANA,"3,838",8,8
8600,RAMAT GAN,"162,979",8,8
681,GIV'AT SHEMU'EL,"26,578",8,8
9300,ZIKHRON YA'AQOV,"23,142",8,8
1015,MEVASSERET ZIYYON,"23,929",8,8
5000,TEL AVIV - YAFO,"459,738",8,8
3750,ALFE MENASHE,"7,952",8,8
6900,KEFAR SAVA,"100,955",8,8
8700,RA'ANNANA,"74,513",8,8
2300,QIRYAT TIV'ON,"17,863",8,9
6400,HERZLIYYA,"97,174",8,8
195,QADIMA-ZORAN,"22,413",8,8
28,MAZKERET BATYA,"14,811",8,9
9800,BINYAMINA-GIV'AT ADA,"15,625",8,9
3760,ORANIT,"8,955",8,9
122,RAMAT YISHAY,"7,785",8,9
7200,NES ZIYYONA,"49,792",8,9
47,KEFAR TAVOR,"4,311",8,9
1200,MODI'IN-MAKKABBIM-RE'UT,"93,277",9,9
154,TEL MOND,"13,144",9,9
229,GANNE TIQWA,"20,308",9,9
171,PARDESIYYA,"5,930",9,9
1263,KEFAR WERADIM,"5,483",9,9
6300,GIV'ATAYIM,"60,628",9,9
182,EVEN YEHUDA,"13,728",9,9
1268,METAR,"9,418",9,9
9700,HOD HASHARON,"62,972",9,9
2620,QIRYAT ONO,"40,281",9,9
2650,RAMAT HASHARON,"47,094",9,9
1304,SHOHAM,"21,045",9,9
3769,HAR ADAR,"4,088",9,9
1224,KOKHAV YA'IR,"8,702",10,9
666,OMER,"7,530",10,10
1271,LEHAVIM,"6,415",10,10
267,KEFAR SHEMARYAHU,"1,906",10,10
587,SAVYON,"4,036",10,10
