CityLMSName,Floor,NoRooms,OneRooms,TwoRooms,ThreeRooms,FourRooms,FiveRooms,SixRooms,SevenRooms,EightRooms,NineRooms,TenRooms,MoreRooms,CityLMSName_Translated
מעלה עמוס,0.0,0,0,0,2,0,0,0,0,0,0,0,0,Ma'ale Amos
מצפה רמון,0.0,0,0,3,0,3,0,0,0,0,0,0,0,Mitzpe Ramon
אור עקיבא,0.0,0,3,0,0,1,0,0,0,0,0,0,0,Or Akiva
רמת השרון,11.0,0,0,0,0,1,0,0,0,0,0,0,0,Ramat Hasharon
כפר יונה,0.0,0,1,0,3,0,0,0,0,0,0,0,0,Kfar Yona
חיפה,15.0,0,0,0,0,2,0,0,0,0,0,0,0,Haifa
פארן,1.0,0,0,0,2,0,0,0,0,0,0,0,0,Paran
חיפה,9.0,0,1,2,2,3,1,0,0,0,0,0,0,Haifa
קרית גת,7.0,0,0,0,6,2,0,0,0,0,0,0,0,Kiryat Gat
אור עקיבא,6.0,0,0,0,0,1,0,0,0,0,0,0,0,Or Akiva
חריש,3.0,0,0,0,1,1,0,0,0,0,0,0,0,earing
אילת,19.0,0,0,0,1,0,0,0,0,0,0,0,0,Eilat
נצרת,4.0,0,0,0,3,2,0,0,0,0,0,0,0,Nazareth
יבנה,4.0,0,0,11,21,5,2,0,0,0,0,0,0,Yavne
רמת השרון,8.0,0,0,0,0,1,0,0,0,0,0,0,0,Ramat Hasharon
יבנה,1.0,0,18,22,22,11,8,0,0,0,0,0,0,Yavne
חיפה,12.0,0,0,0,0,2,0,0,0,0,0,0,0,Haifa
קרית מוצקין,1.0,0,4,7,21,2,0,0,0,0,0,0,0,Kiryat Motzkin
אור עקיבא,3.0,0,1,27,39,4,0,0,0,0,0,0,0,Or Akiva
מצפה רמון,3.0,0,0,19,59,23,2,0,0,0,0,0,0,Mitzpe Ramon
בית אריה,1.0,0,0,0,2,0,0,0,0,0,0,0,0,Beit Arye
קרית גת,4.0,0,0,117,142,26,0,0,0,0,0,0,0,Kiryat Gat
קרית גת,10.0,0,0,0,2,1,0,0,0,0,0,0,0,Kiryat Gat
חיפה,6.0,0,0,3,26,4,1,0,0,0,0,0,0,Haifa
קרית ביאליק,3.0,0,16,36,27,1,1,0,0,0,0,0,0,Kiryat Bialik
מגדל,1.0,0,1,1,2,0,0,0,0,0,0,0,0,tower
נתניה,9.0,0,0,1,0,1,0,0,0,0,0,0,0,Netanya
רמת גן,1.0,0,23,52,38,15,2,0,0,0,0,0,0,Ramat Gan
ערד,3.0,0,6,30,40,5,0,0,0,0,0,0,0,Arad
קרית ארבע,0.0,0,0,0,2,1,0,0,0,0,0,0,0,Kiryat Arba
נס ציונה,1.0,0,16,9,22,19,0,0,0,0,0,0,0,Ness Ziona
פרדס חנה-כרכו,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Pardes Hana
יקנעם עלית,0.0,0,0,0,0,3,0,0,0,0,0,0,0,Yakneam Alit
אזור,8.0,0,0,0,0,1,0,0,0,0,0,0,0,Area
חברון,0.0,0,0,0,0,1,1,0,0,0,0,0,0,Hebron
רמלה,8.0,0,0,0,3,1,0,0,0,0,0,0,0,Ramla
פרדס חנה-כרכו,6.0,0,0,0,1,0,0,0,0,0,0,0,0,Pardes Hana
אור יהודה,10.0,0,0,0,0,1,0,0,0,0,0,0,0,Or Yehuda
קדומים,1.0,0,0,0,2,0,0,0,0,0,0,0,0,Ancients
עפולה,8.0,0,0,4,8,0,0,1,0,0,0,0,0,Afula
כפר סבא,3.0,0,1,14,25,12,0,0,0,0,0,0,0,Kfar Saba
באר שבע,5.0,0,1,6,39,21,0,0,0,0,0,0,0,Beer Sheva
אור יהודה,4.0,0,0,7,14,3,1,0,0,0,0,0,0,Or Yehuda
ראש פנה,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Head turned
אלון מורה,3.0,0,0,0,1,0,0,0,0,0,0,0,0,Alon Mora
מנחמיה,2.0,0,0,0,6,0,0,0,0,0,0,0,0,Menachemia
יבנה,3.0,0,0,14,28,5,4,0,0,0,0,0,0,Yavne
אריאל,3.0,0,0,0,11,3,0,0,0,0,0,0,0,Ariel
יבנה,0.0,0,0,0,4,1,0,0,0,0,0,0,0,Yavne
חיפה,11.0,0,0,0,1,2,0,0,0,0,0,0,0,Haifa
ראשון לציון,4.0,0,1,16,37,19,1,0,0,0,0,0,0,Rishon Lezion
חיפה,5.0,0,0,11,17,11,0,0,0,0,0,0,0,Haifa
נוף הגליל,7.0,0,0,13,25,7,0,0,0,0,0,0,0,The view of the Galilee
נהריה,3.0,0,2,26,54,8,1,0,0,0,0,0,0,Nahariya
חריש,2.0,0,0,0,2,2,0,0,0,0,0,0,0,earing
קצרין,2.0,0,0,9,20,5,0,0,0,0,0,0,0,Katzrin
קרני שומרון,2.0,0,0,0,23,6,0,0,0,0,0,0,0,Horns of Samaria
ראשון לציון,10.0,0,0,0,1,0,0,0,0,0,0,0,0,Rishon Lezion
קרית מלאכי,1.0,0,0,29,40,8,0,0,0,0,0,0,0,Kiryat Malachi
ראשון לציון,7.0,0,0,1,3,1,1,0,0,0,0,0,0,Rishon Lezion
נהריה,6.0,0,0,0,5,2,0,0,0,0,0,0,0,Nahariya
חיפה,8.0,0,9,3,10,8,2,0,0,0,0,0,0,Haifa
באר שבע,1.0,0,162,429,712,185,42,14,3,0,0,0,0,Beer Sheva
נס ציונה,5.0,0,0,0,1,0,0,0,0,0,0,0,0,Ness Ziona
רמת השרון,15.0,0,0,0,0,1,0,0,0,0,0,0,0,Ramat Hasharon
אבן יהודה,2.0,0,0,1,1,0,0,0,0,0,0,0,0,Even Yehuda
פני חבר,0.0,0,0,0,3,0,0,0,0,0,0,0,0,face friend
כרמיאל,,0,0,1,0,0,0,0,0,0,0,0,0,Carmiel
נוף הגליל,16.0,0,0,0,0,1,0,0,0,0,0,0,0,The view of the Galilee
רכסים,4.0,0,0,0,2,0,0,0,0,0,0,0,0,ridges
כפר יונה,4.0,0,0,0,0,1,0,0,0,0,0,0,0,Kfar Yona
קרית מוצקין,2.0,0,3,3,14,2,1,0,0,0,0,0,0,Kiryat Motzkin
פרדס חנה-כרכו,4.0,0,0,1,5,1,1,0,0,0,0,0,0,Pardes Hana
בית שאן,1.0,0,5,35,68,73,6,2,1,2,0,0,0,Beit Shean
אור יהודה,6.0,0,0,0,0,1,0,0,0,0,0,0,0,Or Yehuda
קרית גת,11.0,0,0,0,1,1,0,0,0,0,0,0,0,Kiryat Gat
קרית אונו,1.0,0,2,9,9,8,1,0,0,0,0,0,0,Kiryat Ono
נס ציונה,2.0,0,1,6,11,8,1,0,0,0,0,0,0,Ness Ziona
רמת השרון,18.0,0,0,0,0,1,0,0,0,0,0,0,0,Ramat Hasharon
זכרון יעקב,1.0,0,7,16,12,3,2,0,0,0,0,0,0,Zichron Yaakov
קרית מוצקין,5.0,0,1,0,1,0,0,0,0,0,0,0,0,Kiryat Motzkin
רכסים,1.0,0,7,7,4,2,0,0,0,0,0,0,0,ridges
רמת השרון,12.0,0,0,0,0,1,0,0,0,0,0,0,0,Ramat Hasharon
חולון,11.0,0,0,0,0,1,0,0,0,0,0,0,0,Holon
קרית גת,14.0,0,0,0,0,1,0,0,0,0,0,0,0,Kiryat Gat
חיפה,2.0,0,13,102,122,47,2,0,0,0,0,0,0,Haifa
אור יהודה,3.0,0,0,16,23,2,1,0,0,0,0,0,0,Or Yehuda
קרית אונו,4.0,0,1,0,6,3,1,0,0,0,0,0,0,Kiryat Ono
חדרה,6.0,0,0,0,2,0,0,0,0,0,0,0,0,Hadera
קרית גת,16.0,0,0,0,0,1,0,0,0,0,0,0,0,Kiryat Gat
קרית טבעון,1.0,0,9,18,11,1,0,0,0,0,0,0,0,Kiryat Tiv'on
מודיעין עילית,4.0,0,0,0,0,1,0,0,0,0,0,0,0,Modi'in Illit
שדרות,2.0,0,0,26,90,27,4,1,0,0,0,0,0,Sderot
מעלה אדומים,3.0,0,0,0,6,0,0,0,0,0,0,0,0,Ma'ale Adumim
הוד השרון,2.0,0,0,9,13,9,0,0,0,0,0,0,0,Hod Hasharon
קרית ים,12.0,0,0,0,1,0,0,0,0,0,0,0,0,Kiryat Yam
נשר,9.0,0,0,0,1,0,0,0,0,0,0,0,0,Nesher
זכרון יעקב,3.0,0,2,4,8,3,0,0,0,0,0,0,0,Zichron Yaakov
ירוחם,4.0,0,0,4,20,3,0,0,0,0,0,0,0,Yeruham
אשקלון,15.0,0,0,0,1,0,0,0,0,0,0,0,0,Ashkelon
בית שאן,6.0,0,0,0,0,1,0,0,0,0,0,0,0,Beit Shean
כפר סבא,6.0,0,0,1,0,1,0,0,0,0,0,0,0,Kfar Saba
אשקלון,9.0,0,0,2,2,0,0,0,0,0,0,0,0,Ashkelon
בת ים,5.0,0,0,0,8,5,0,0,0,0,0,0,0,Bat Yam
מצפה רמון,1.0,0,1,38,76,31,1,0,0,0,0,0,0,Mitzpe Ramon
חדרה,3.0,0,5,14,53,9,1,0,0,0,0,0,0,Hadera
בית שאן,0.0,0,2,3,3,3,1,1,0,0,0,0,0,Beit Shean
חדרה,9.0,0,0,0,0,1,0,0,0,0,0,0,0,Hadera
שעל,1.0,0,0,0,1,0,0,0,0,0,0,0,0,on
אור יהודה,1.0,0,21,13,27,15,1,1,0,0,0,0,0,Or Yehuda
עתלית,4.0,0,0,0,5,0,0,0,0,0,0,0,0,Atlit
לוד,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Lod
נהריה,1.0,0,9,54,50,18,4,1,0,0,0,0,0,Nahariya
הרצליה,5.0,0,0,0,0,1,0,0,0,0,0,0,0,Herzliya
מטולה,3.0,0,0,0,0,1,0,0,0,0,0,0,0,Matula
נתיבות,6.0,0,0,0,0,1,0,0,0,0,0,0,0,routes
ראשון לציון,2.0,0,0,40,79,32,3,0,0,0,0,0,0,Rishon Lezion
בנימינה–גבעת עד,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Binyamina-Givat Ad
נוף הגליל,5.0,0,3,39,33,5,0,0,0,0,0,0,0,The view of the Galilee
בית שאן,9.0,0,0,0,0,6,0,0,0,0,0,0,0,Beit Shean
מצפה רמון,4.0,0,0,7,27,13,0,0,0,0,0,0,0,Mitzpe Ramon
תל אביב -יפו,14.0,0,0,0,0,1,0,0,0,0,0,0,0,Tel Aviv Jaffa
נתניה,8.0,0,0,1,10,7,1,0,0,0,0,0,0,Netanya
רמת גן,0.0,0,1,5,2,0,0,0,0,0,0,0,0,Ramat Gan
הרצליה,2.0,0,11,32,52,5,2,0,0,0,0,0,0,Herzliya
"בני עי""ש",1.0,0,0,2,2,0,1,1,0,0,0,0,0,sons of Aish
מעלות-תרשיחא,7.0,0,0,0,4,1,0,0,0,0,0,0,0,Tarshiha
נוה זהר,2.0,0,0,1,0,0,0,0,0,0,0,0,0,Neve Zohar
טירת כרמל,4.0,0,3,12,41,8,0,0,0,0,0,0,0,Tirat Carmel
נוף הגליל,2.0,0,12,178,179,21,0,4,0,0,0,0,0,The view of the Galilee
עלי זהב,1.0,0,0,0,1,0,0,0,0,0,0,0,0,Gold leaves
בנימינה–גבעת עד,3.0,0,0,3,5,0,0,0,0,0,0,0,0,Binyamina-Givat Ad
פתח תקוה,20.0,0,0,0,0,1,0,0,0,0,0,0,0,Petah Tikva
קרית ים,6.0,0,1,2,3,2,1,0,0,0,0,0,0,Kiryat Yam
יבנה,6.0,0,0,0,1,3,0,0,0,0,0,0,0,Yavne
חיפה,14.0,0,0,0,1,3,0,0,0,0,0,0,0,Haifa
חולון,7.0,0,1,7,3,0,0,0,0,0,0,0,0,Holon
קרית גת,2.0,0,0,160,134,39,1,0,0,0,0,0,0,Kiryat Gat
אלון מורה,1.0,0,0,0,37,1,0,0,0,0,0,0,0,Alon Mora
ייטב,0.0,0,0,0,0,3,0,0,0,0,0,0,0,better
בית אל,2.0,0,0,0,8,3,0,0,0,0,0,0,0,Bethel
רמת גן,3.0,0,3,30,21,2,1,0,0,0,0,0,0,Ramat Gan
יהוד,3.0,0,1,8,18,6,0,0,0,0,0,0,0,Yehud
אפרתה,1.0,0,0,0,0,0,0,1,0,0,0,0,0,Ephrata
אור יהודה,12.0,0,0,0,0,1,0,0,0,0,0,0,0,Or Yehuda
קרית אתא,6.0,0,0,5,14,5,0,0,0,0,0,0,0,Kiryat Ata
באר שבע,7.0,0,1,3,20,15,0,0,0,0,0,0,0,Beer Sheva
נהריה,7.0,0,0,0,6,2,0,0,0,0,0,0,0,Nahariya
מנחמיה,3.0,0,0,0,2,0,0,0,0,0,0,0,0,Menachemia
שילה,1.0,0,0,0,7,0,0,0,0,0,0,0,0,Sheila
רמת גן,6.0,0,0,0,1,1,0,0,0,0,0,0,0,Ramat Gan
אבני חפץ,3.0,0,0,0,1,0,0,0,0,0,0,0,0,Gems
יהוד,0.0,0,1,1,3,0,0,0,0,0,0,0,0,Yehud
מעלה אפרים,2.0,0,0,0,11,0,0,0,0,0,0,0,0,Maale Ephraim
גבעתים,0.0,0,1,1,0,0,0,0,0,0,0,0,0,Givatayim
קרית אתא,3.0,0,14,42,54,11,2,0,0,0,0,0,0,Kiryat Ata
אור יהודה,15.0,0,0,0,1,0,0,0,0,0,0,0,0,Or Yehuda
באר שבע,4.0,0,5,213,327,94,1,1,0,0,0,0,0,Beer Sheva
נהריה,4.0,0,0,6,20,5,0,0,0,0,0,0,0,Nahariya
רמת גן,9.0,0,0,0,0,1,0,0,0,0,0,0,0,Ramat Gan
הרצליה,1.0,0,59,42,59,27,1,0,0,0,0,0,0,Herzliya
אור יהודה,5.0,0,0,0,1,0,0,0,0,0,0,0,0,Or Yehuda
קרית אונו,2.0,0,0,0,15,4,0,0,0,0,0,0,0,Kiryat Ono
חדרה,7.0,0,0,0,3,4,0,0,0,0,0,0,0,Hadera
נתיבות,2.0,0,13,38,50,37,1,0,0,0,0,0,0,routes
בית דגן,3.0,0,0,4,4,3,0,0,0,0,0,0,0,Beit Dagan
לוד,4.0,0,0,41,95,13,0,0,0,0,0,0,0,Lod
עכו,6.0,0,0,2,11,2,0,0,0,0,0,0,0,Acre
עכו,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Acre
נתיבות,8.0,0,0,0,0,1,0,0,0,0,0,0,0,routes
צפת,11.0,0,0,0,3,0,0,0,0,0,0,0,0,Zefat
צפת,5.0,0,0,19,33,5,0,0,0,0,0,0,0,Zefat
רמת השרון,3.0,0,0,5,16,2,0,0,0,0,0,0,0,Ramat Hasharon
עתלית,3.0,0,0,0,15,1,0,1,0,0,0,0,0,Atlit
עפולה,0.0,0,2,4,6,1,0,0,0,0,0,0,0,Afula
חספין,0.0,0,0,0,9,0,0,0,0,0,0,0,0,Hasfin
לוד,1.0,0,15,84,132,48,4,0,0,0,0,0,0,Lod
חצור הגלילית,1.0,0,11,15,35,11,1,0,0,1,0,0,0,Hazor HaGalilit
אלון שבות,1.0,0,0,2,4,0,0,0,0,0,0,0,0,Alon Shvut
עפרים,2.0,0,0,0,0,4,0,0,0,0,0,0,0,Efraim
בני ברק,6.0,0,0,0,1,0,0,0,0,0,0,0,0,Bnei Brak
טירת כרמל,2.0,0,10,66,68,15,0,0,0,0,0,0,0,Tirat Carmel
נתיבות,5.0,0,0,0,0,4,0,0,0,0,0,0,0,routes
עכו,3.0,0,2,71,80,20,0,0,0,0,0,0,0,Acre
אופקים,4.0,0,0,38,23,16,2,0,0,0,0,0,0,horizons
רכסים,3.0,0,0,1,1,2,0,0,0,0,0,0,0,ridges
בנימינה–גבעת עד,1.0,0,2,11,18,6,2,0,0,0,0,0,0,Binyamina-Givat Ad
צפת,8.0,0,0,5,20,3,0,0,0,0,0,0,0,Zefat
רמת השרון,6.0,0,0,0,2,1,0,0,0,0,0,0,0,Ramat Hasharon
אור עקיבא,1.0,0,16,37,43,13,2,0,0,0,0,0,0,Or Akiva
אילת,8.0,0,0,0,1,3,0,0,0,0,0,0,0,Eilat
רמת השרון,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Ramat Hasharon
טבריה,6.0,0,0,0,18,6,0,0,0,0,0,0,0,Tiberias
אזור,6.0,0,0,0,1,0,0,0,0,0,0,0,0,Area
רמלה,6.0,0,1,0,5,2,0,0,0,0,0,0,0,Ramla
בר יוחאי,1.0,0,0,0,1,0,0,2,0,0,0,0,0,Bar Yochai
רמת השרון,9.0,0,0,0,0,1,0,0,0,0,0,0,0,Ramat Hasharon
ירושלים,6.0,0,1,5,18,17,1,0,0,0,0,0,0,Jerusalem
הר גילה,1.0,0,0,0,1,0,0,0,0,0,0,0,0,Mount Gila
קרית טבעון,3.0,0,0,3,1,3,0,0,0,0,0,0,0,Kiryat Tiv'on
קרית ביאליק,1.0,0,27,52,32,9,0,0,0,0,0,0,0,Kiryat Bialik
בת ים,6.0,0,0,1,6,1,0,0,0,0,0,0,0,Bat Yam
קרית ביאליק,4.0,0,1,10,11,1,0,0,0,0,0,0,0,Kiryat Bialik
בית שמש,6.0,0,0,0,19,0,0,0,0,0,0,0,0,Beit Shemesh
קרית ארבע,5.0,0,0,0,7,4,0,0,0,0,0,0,0,Kiryat Arba
אזור,3.0,0,0,3,6,2,0,0,0,0,0,0,0,Area
פתח תקוה,1.0,0,24,49,123,48,6,2,0,0,0,0,0,Petah Tikva
רמלה,3.0,0,0,39,78,15,0,0,0,0,0,0,0,Ramla
פרדס חנה-כרכו,1.0,0,18,45,100,12,3,5,0,0,0,0,0,Pardes Hana
ירוחם,2.0,0,0,45,83,9,0,0,0,0,0,0,0,Yeruham
ירושלים,9.0,0,0,0,12,2,1,0,0,0,0,0,0,Jerusalem
ירושלים,3.0,0,6,53,186,80,7,1,0,0,0,0,0,Jerusalem
רמלה,0.0,0,0,0,0,2,0,0,0,0,0,0,0,Ramla
כפר יונה,1.0,0,2,5,25,11,1,1,0,0,0,0,0,Kfar Yona
קרית אונו,3.0,0,1,2,13,6,1,0,0,0,0,0,0,Kiryat Ono
מעלות-תרשיחא,1.0,0,8,54,40,14,2,1,0,0,0,0,0,Tarshiha
רמת גן,4.0,0,0,3,7,0,0,0,0,0,0,0,0,Ramat Gan
ערד,0.0,0,0,2,3,0,0,0,0,0,0,0,0,Arad
גדידה-מכר,2.0,0,0,0,12,18,0,0,0,0,0,0,0,Gadida-Makr
באר שבע,2.0,0,56,345,345,108,11,3,0,0,0,0,0,Beer Sheva
תל מונד,2.0,0,0,2,5,2,0,0,0,0,0,0,0,Tel Mond
נתניה,6.0,0,0,1,17,8,1,0,0,0,0,0,0,Netanya
אבן יהודה,1.0,0,0,3,5,1,0,0,0,0,0,0,0,Even Yehuda
רחובות,2.0,0,0,29,49,12,0,0,0,0,0,0,0,streets
קרית ארבע,3.0,0,0,0,44,9,0,0,0,0,0,0,0,Kiryat Arba
אבני חפץ,1.0,0,0,2,0,0,0,0,0,0,0,0,0,Gems
רמת השרון,14.0,0,0,0,0,1,0,0,0,0,0,0,0,Ramat Hasharon
חרוצים,1.0,0,2,3,1,0,0,0,0,0,0,0,0,diligent
רמלה,5.0,0,0,0,3,3,0,0,0,0,0,0,0,Ramla
ירושלים,11.0,0,0,0,1,1,0,0,0,0,0,0,0,Jerusalem
קרית אונו,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Kiryat Ono
פרדס חנה-כרכו,3.0,0,7,22,35,2,2,0,0,0,0,0,0,Pardes Hana
גבעת שמואל,5.0,0,0,1,3,0,0,0,0,0,0,0,0,Givat Shmuel
אור יהודה,7.0,0,0,0,2,0,0,0,0,0,0,0,0,Or Yehuda
קרית ביאליק,6.0,0,0,0,2,2,0,0,0,0,0,0,0,Kiryat Bialik
צפת,0.0,0,0,4,7,3,0,0,0,0,0,0,0,Zefat
ראשון לציון,11.0,0,0,0,0,1,0,0,0,0,0,0,0,Rishon Lezion
תל אביב -יפו,0.0,0,13,42,28,17,5,2,0,0,0,0,1,Tel Aviv Jaffa
חצור הגלילית,6.0,0,0,1,1,0,0,0,0,0,0,0,0,Hazor HaGalilit
הוד השרון,3.0,0,0,9,10,5,1,0,0,0,0,0,0,Hod Hasharon
צופר,1.0,0,0,0,1,0,0,0,0,0,0,0,0,horn
רמת ישי,2.0,0,0,0,1,0,0,0,0,0,0,0,0,Ramat Yishai
לוד,6.0,0,0,0,3,1,0,0,0,0,0,0,0,Lod
פתח תקוה,15.0,0,0,0,0,1,0,0,0,0,0,0,0,Petah Tikva
פתח תקוה,9.0,0,0,0,1,0,0,0,0,0,0,0,0,Petah Tikva
בני ברק,1.0,0,24,34,44,29,1,0,0,0,0,0,0,Bnei Brak
מגדל העמק,6.0,0,0,0,3,3,0,0,0,0,0,0,0,Migdal Haemek
רועי,1.0,0,0,0,1,0,0,0,0,0,0,0,0,Roy
ראשון לציון,8.0,0,0,0,3,0,0,0,0,0,0,0,0,Rishon Lezion
קרית ים,1.0,0,28,56,82,15,0,0,0,0,0,0,0,Kiryat Yam
צפת,3.0,0,3,31,40,8,0,0,0,0,0,0,0,Zefat
אלון מורה,2.0,0,0,0,21,3,0,0,0,0,0,0,0,Alon Mora
טירת כרמל,10.0,0,0,0,0,1,1,0,0,0,0,0,0,Tirat Carmel
קרית ים,4.0,0,10,19,48,2,1,0,0,0,0,0,0,Kiryat Yam
לוד,3.0,0,0,66,97,12,0,0,0,0,0,0,0,Lod
מודיעין עילית,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Modi'in Illit
בני ברק,4.0,0,1,20,20,6,0,0,0,0,0,0,0,Bnei Brak
פתח תקוה,12.0,0,0,0,0,1,0,0,0,0,0,0,0,Petah Tikva
כפר סבא,0.0,0,0,0,4,4,0,0,0,0,0,0,0,Kfar Saba
אלון שבות,2.0,0,0,0,5,1,0,0,0,0,0,0,0,Alon Shvut
הוד השרון,0.0,0,0,2,2,1,0,0,0,0,0,0,0,Hod Hasharon
ראשון לציון,5.0,0,0,0,12,4,0,0,0,0,0,0,0,Rishon Lezion
אלקנה,1.0,0,0,0,5,17,6,0,0,0,0,0,0,Elkana
צפת,6.0,0,0,19,24,6,0,0,0,0,0,0,0,Zefat
חלמיש,1.0,0,0,0,4,0,0,0,0,0,0,0,0,flint
עתלית,1.0,0,2,11,32,0,0,0,0,0,0,0,0,Atlit
חצור הגלילית,7.0,0,0,2,0,0,0,0,0,0,0,0,0,Hazor HaGalilit
תל אביב -יפו,1.0,0,68,198,261,103,16,4,0,0,0,0,0,Tel Aviv Jaffa
גני תקוה,3.0,0,0,0,9,1,1,0,0,0,0,0,0,Ganei Tikva
עכו,9.0,0,0,0,0,3,0,0,0,0,0,0,0,Acre
בני ברק,0.0,0,0,1,3,4,1,0,0,0,0,0,0,Bnei Brak
גבעת זאב,2.0,0,0,0,1,0,0,0,0,0,0,0,0,Ze'ev hill
אשדוד,3.0,0,5,155,110,27,2,0,0,0,0,0,0,Ashdod
קדימה-צורן,1.0,0,2,10,9,7,1,1,0,0,0,0,0,"Come on, Zoran"
טבריה,0.0,0,0,19,0,2,0,0,0,0,0,0,0,Tiberias
צפת,2.0,0,3,56,43,14,0,0,0,0,0,0,0,Zefat
מגדל העמק,3.0,0,0,38,120,31,0,1,0,0,0,0,0,Migdal Haemek
כרמיאל,3.0,0,0,33,99,6,2,0,0,0,0,0,0,Carmiel
ערד,1.0,0,9,32,70,4,0,0,0,0,0,0,0,Arad
כמהין,0.0,0,0,0,3,0,0,0,0,0,0,0,0,truffle
אור עקיבא,7.0,0,0,0,0,1,0,0,0,0,0,0,0,Or Akiva
אשדוד,6.0,0,0,0,18,29,8,0,0,0,0,0,0,Ashdod
רחובות,5.0,0,0,0,4,0,1,0,0,0,0,0,0,streets
רחובות,14.0,0,0,0,0,1,0,0,0,0,0,0,0,streets
יבנה,5.0,0,0,0,3,2,0,0,0,0,0,0,0,Yavne
חיפה,13.0,0,0,0,0,1,0,0,0,0,0,0,0,Haifa
רחובות,8.0,0,0,0,0,2,0,0,0,0,0,0,0,streets
ירושלים,0.0,0,32,82,82,56,7,2,0,1,0,0,0,Jerusalem
קצרין,0.0,0,11,8,55,26,0,0,0,0,0,0,0,Katzrin
בית שמש,0.0,0,0,0,10,9,2,0,0,0,0,0,0,Beit Shemesh
ראש העין,6.0,0,0,0,1,0,1,0,0,0,0,0,0,Rosh HaAyin
רמלה,9.0,0,0,0,3,1,0,0,0,0,0,0,0,Ramla
אור עקיבא,4.0,0,0,0,18,1,0,0,0,0,0,0,0,Or Akiva
חיפה,19.0,0,0,0,0,1,0,0,0,0,0,0,0,Haifa
נצרת,2.0,0,0,0,8,1,0,0,0,0,0,0,0,Nazareth
ערד,4.0,0,6,74,48,4,0,0,0,0,0,0,0,Arad
חיפה,10.0,0,0,0,1,1,0,0,0,0,0,0,0,Haifa
רחובות,11.0,0,0,0,0,1,0,0,0,0,0,0,0,streets
שרשים,0.0,0,0,0,1,0,0,0,0,0,0,0,0,roots
קרית גת,0.0,0,0,1,15,3,1,0,0,0,0,0,0,Kiryat Gat
קצרין,3.0,0,0,0,33,9,0,0,0,0,0,0,0,Katzrin
בית שמש,3.0,0,0,32,69,9,1,0,0,0,0,0,0,Beit Shemesh
ראש העין,3.0,0,0,2,10,3,0,0,0,0,0,0,0,Rosh HaAyin
כרמיאל,6.0,0,0,2,10,6,0,0,0,0,0,0,0,Carmiel
אבשלום,1.0,0,0,0,1,0,0,0,0,0,0,0,0,Absalom
נתיבות,4.0,0,1,6,38,24,0,0,0,0,0,0,0,routes
מבוא דותן,1.0,0,0,0,1,0,0,0,0,0,0,0,0,Dotan's introduction
הרצליה,3.0,0,2,10,19,5,5,0,0,0,0,0,0,Herzliya
חיפה,18.0,0,0,0,0,1,0,0,0,0,0,0,0,Haifa
קרית טבעון,2.0,0,3,5,8,2,0,0,0,0,0,0,0,Kiryat Tiv'on
עדן,0.0,0,0,0,6,0,0,0,0,0,0,0,0,Eden
גן יבנה,1.0,0,1,7,6,0,1,0,0,0,0,0,0,Gan Yavne
גרנות הגליל,0.0,0,0,0,0,1,0,0,0,0,0,0,0,The Galilee
גבעתים,3.0,0,0,2,7,0,0,0,0,0,0,0,0,Givatayim
אופקים,3.0,0,0,107,142,72,2,1,0,0,0,0,0,horizons
נצרת,7.0,0,0,0,0,1,0,0,0,0,0,0,0,Nazareth
מזכרת בתיה,1.0,0,0,4,5,4,0,0,0,0,0,0,0,A souvenir of her house
הרצליה,0.0,0,3,1,0,0,0,0,0,0,0,0,0,Herzliya
שלומי,2.0,0,0,3,33,15,1,0,0,0,0,0,0,my peace
דימונה,5.0,0,0,3,42,2,0,0,0,0,0,0,0,Dimona
בנימינה–גבעת עד,2.0,0,0,9,7,3,0,0,0,0,0,0,0,Binyamina-Givat Ad
בית שמש,2.0,0,5,42,100,24,4,0,0,0,0,0,0,Beit Shemesh
נתיבות,1.0,0,7,26,50,27,2,1,0,0,0,0,0,routes
שפרעם,1.0,0,0,9,0,0,0,0,0,0,0,0,0,Shafram
עכו,7.0,0,0,2,18,2,0,0,0,0,0,0,0,Acre
לפידות,0.0,0,0,0,2,0,0,0,0,0,0,0,0,torches
בר יוחאי,0.0,0,0,0,3,0,0,0,0,0,0,0,0,Bar Yochai
ספיר,1.0,0,0,0,4,4,0,0,0,0,0,0,0,sapphire
נתיבות,7.0,0,0,0,0,2,0,0,0,0,0,0,0,routes
נוף הגליל,0.0,0,0,5,10,0,0,0,0,0,0,0,0,The view of the Galilee
אשדוד,1.0,0,32,220,154,47,5,0,0,0,0,0,0,Ashdod
מזכרת בתיה,4.0,0,0,0,1,0,0,0,0,0,0,0,0,A souvenir of her house
דימונה,2.0,0,28,265,244,49,1,2,0,0,0,0,0,Dimona
אופקים,0.0,0,0,2,6,0,0,0,0,0,0,0,0,horizons
בית שמש,5.0,0,0,0,13,3,0,0,0,0,0,0,0,Beit Shemesh
