CityLmsName,CityLmsCode,NumOfRooms,Floor,TotalArea,ValidityDate,CompanyName,StatusName,StatusChangeDate,PropertyTypeName,CityLmsName_Translated,CompanyName_Translated,StatusName_Translated,PropertyTypeName_Translated
ירוחם,831,3.0,2,76.0,23/05/2024,עמידר,פנויה,13/01/2022,דירה ,Yeruham,Amidar,free,Apartment
ערד,2560,2.0,4,38.0,23/05/2024,עמידר,פנויה,04/05/2023,דירה ,Arad,Amidar,free,Apartment
דימונה,2200,3.0,4,74.0,23/05/2024,עמידר,פנויה,31/12/2023,דירה ,Dimona,Amidar,free,Apartment
עכו,7600,2.0,4,54.0,23/05/2024,עמידר,פנויה,06/06/2023,דירה ,Acre,Amidar,free,Apartment
נוף הגליל,1061,3.0,3,48.0,23/05/2024,עמידר,פנויה,28/11/2022,דירה ,The view of the Galilee,Amidar,free,Apartment
בית שמש,2610,3.0,3,81.0,23/05/2024,עמידר,פנויה,13/08/2023,דירה ,Beit Shemesh,Amidar,free,Apartment
קצרין,4100,2.0,1,52.0,23/05/2024,"שו""פ",פנויה,10/12/2023,דירה ,Katzrin,Co. Ltd,free,Apartment
מגדל העמק,874,3.0,4,72.0,23/05/2024,עמיגור,פנויה,31/01/2024,דירה ,Migdal Haemek,Amigur,free,Apartment
שדרות,1031,3.0,3,61.0,23/05/2024,עמיגור,פנויה,28/12/2022,דירה ,Sderot,Amigur,free,Apartment
אופקים,31,2.0,3,55.0,23/05/2024,עמיגור,פנויה,12/03/2023,דירה ,horizons,Amigur,free,Apartment
ירוחם,831,2.0,3,53.0,23/05/2024,עמידר,פנויה,21/07/2021,דירה ,Yeruham,Amidar,free,Apartment
ירוחם,831,3.0,3,54.0,23/05/2024,עמידר,פנויה,13/06/2022,דירה ,Yeruham,Amidar,free,Apartment
דימונה,2200,2.5,3,50.0,23/05/2024,עמידר,פנויה,31/12/2020,דירה ,Dimona,Amidar,free,Apartment
ירוחם,831,3.0,1,52.7,23/05/2024,עמידר,פנויה,13/02/2024,דירה ,Yeruham,Amidar,free,Apartment
עפולה,7700,2.0,2,45.8,23/05/2024,עמידר,פנויה,15/03/2022,דירה ,Afula,Amidar,free,Apartment
עפולה,7700,2.0,2,45.8,23/05/2024,עמידר,פנויה,15/03/2022,דירה ,Afula,Amidar,free,Apartment
באר שבע,9000,2.5,3,42.4,23/05/2024,עמידר,פנויה,25/04/2023,דירה ,Beer Sheva,Amidar,free,Apartment
דימונה,2200,3.0,3,59.0,23/05/2024,עמידר,פנויה,14/05/2020,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,3.0,4,70.0,23/05/2024,עמידר,פנויה,27/04/2021,דירה ,Dimona,Amidar,free,Apartment
מצפה רמון,99,2.5,2,53.9,23/05/2024,עמידר,פנויה,05/03/2023,דירה ,Mitzpe Ramon,Amidar,free,Apartment
ירוחם,831,3.0,3,60.0,23/05/2024,עמידר,פנויה,30/09/2020,דירה ,Yeruham,Amidar,free,Apartment
עפולה,7700,3.0,3,58.7,23/05/2024,עמידר,פנויה,13/02/2024,דירה ,Afula,Amidar,free,Apartment
עפולה,7700,3.0,3,58.7,23/05/2024,עמידר,פנויה,13/02/2024,דירה ,Afula,Amidar,free,Apartment
קרית שמונה,2800,2.0,3,67.5,23/05/2024,עמידר,פנויה,07/11/2021,דירה ,Kiryat Shmona,Amidar,free,Apartment
קרית גת,2630,2.0,3,48.0,23/05/2024,עמידר,פנויה,06/02/2024,דירה ,Kiryat Gat,Amidar,free,Apartment
ירוחם,831,3.0,2,65.0,23/05/2024,עמידר,פנויה,04/03/2019,דירה ,Yeruham,Amidar,free,Apartment
דימונה,2200,2.0,2,50.0,23/05/2024,עמידר,פנויה,22/02/2024,דירה ,Dimona,Amidar,free,Apartment
ירוחם,831,2.0,1,48.0,23/05/2024,עמידר,פנויה,15/03/2023,דירה ,Yeruham,Amidar,free,Apartment
עפולה,7700,3.0,4,62.5,23/05/2024,עמידר,פנויה,14/01/2021,דירה ,Afula,Amidar,free,Apartment
עפולה,7700,3.0,4,62.5,23/05/2024,עמידר,פנויה,14/01/2021,דירה ,Afula,Amidar,free,Apartment
ירוחם,831,2.0,3,48.0,23/05/2024,עמידר,פנויה,08/08/2023,דירה ,Yeruham,Amidar,free,Apartment
עפולה,7700,2.0,2,47.1,23/05/2024,עמידר,פנויה,04/01/2021,דירה ,Afula,Amidar,free,Apartment
עפולה,7700,2.0,2,47.1,23/05/2024,עמידר,פנויה,04/01/2021,דירה ,Afula,Amidar,free,Apartment
ירוחם,831,3.0,2,76.0,23/05/2024,עמידר,פנויה,28/12/2021,דירה ,Yeruham,Amidar,free,Apartment
ירוחם,831,3.0,3,54.0,23/05/2024,עמידר,פנויה,24/03/2020,דירה ,Yeruham,Amidar,free,Apartment
ערד,2560,2.5,4,47.0,23/05/2024,עמידר,פנויה,08/07/2021,דירה ,Arad,Amidar,free,Apartment
עתלית,53,3.0,3,56.0,23/05/2024,עמידר,פנויה,23/01/2024,דירה ,Atlit,Amidar,free,Apartment
באר שבע,9000,3.5,3,70.0,23/05/2024,עמידר,פנויה,05/09/2023,דירה ,Beer Sheva,Amidar,free,Apartment
דימונה,2200,2.5,3,48.0,23/05/2024,עמידר,פנויה,21/06/2020,דירה ,Dimona,Amidar,free,Apartment
קצרין,4100,1.0,0,34.0,23/05/2024,"שו""פ",פנויה,01/01/2022,דירה ,Katzrin,Co. Ltd,free,Apartment
קצרין,4100,2.0,2,48.0,23/05/2024,"שו""פ",פנויה,01/01/2021,דירה ,Katzrin,Co. Ltd,free,Apartment
אופקים,31,2.0,3,54.0,23/05/2024,עמיגור,פנויה,03/04/2023,דירה ,horizons,Amigur,free,Apartment
דימונה,2200,3.0,3,53.1,23/05/2024,עמידר,פנויה,06/06/2021,דירה ,Dimona,Amidar,free,Apartment
באר שבע,9000,2.0,3,47.0,23/05/2024,עמידר,פנויה,12/11/2023,דירה ,Beer Sheva,Amidar,free,Apartment
בית שאן,9200,3.0,3,84.0,23/05/2024,עמידר,פנויה,16/11/2023,דירה ,Beit Shean,Amidar,free,Apartment
באר שבע,9000,2.5,4,54.4,23/05/2024,עמידר,פנויה,29/12/2020,דירה ,Beer Sheva,Amidar,free,Apartment
גדידה-מכר,1292,3.0,3,71.0,23/05/2024,עמידר,פנויה,03/11/2021,דירה ,Gadida-Makr,Amidar,free,Apartment
דימונה,2200,3.0,3,62.0,23/05/2024,עמידר,פנויה,16/02/2021,דירה ,Dimona,Amidar,free,Apartment
דימונה,2200,3.0,2,53.1,23/05/2024,עמידר,פנויה,26/09/2023,דירה ,Dimona,Amidar,free,Apartment
מצפה רמון,99,3.0,2,64.8,23/05/2024,עמידר,פנויה,20/04/2023,דירה ,Mitzpe Ramon,Amidar,free,Apartment
ירוחם,831,2.0,1,48.0,23/05/2024,עמידר,פנויה,06/10/2021,דירה ,Yeruham,Amidar,free,Apartment
מצפה רמון,99,3.0,3,64.8,23/05/2024,עמידר,פנויה,09/08/2020,דירה ,Mitzpe Ramon,Amidar,free,Apartment
מצפה רמון,99,3.0,1,65.0,23/05/2024,עמידר,פנויה,01/06/2023,דירה ,Mitzpe Ramon,Amidar,free,Apartment
דימונה,2200,2.0,2,46.3,23/05/2024,עמידר,פנויה,14/02/2024,דירה ,Dimona,Amidar,free,Apartment
באר שבע,9000,2.0,4,56.0,23/05/2024,עמידר,פנויה,20/12/2023,דירה ,Beer Sheva,Amidar,free,Apartment
ערד,2560,2.0,4,38.0,23/05/2024,עמידר,פנויה,09/11/2023,דירה ,Arad,Amidar,free,Apartment
עפולה,7700,2.0,4,55.5,23/05/2024,עמידר,פנויה,15/12/2019,דירה ,Afula,Amidar,free,Apartment
עפולה,7700,2.0,4,55.5,23/05/2024,עמידר,פנויה,15/12/2019,דירה ,Afula,Amidar,free,Apartment
מצפה רמון,99,4.0,4,89.0,23/05/2024,עמידר,פנויה,07/06/2020,דירה ,Mitzpe Ramon,Amidar,free,Apartment
בית שאן,9200,3.5,3,68.4,23/05/2024,עמידר,פנויה,28/01/2024,דירה ,Beit Shean,Amidar,free,Apartment
נוף הגליל,1061,1.0,4,34.0,23/05/2024,עמידר,פנויה,03/01/2023,דירה ,The view of the Galilee,Amidar,free,Apartment
קרית שמונה,2800,2.0,4,57.0,23/05/2024,עמידר,פנויה,12/06/2022,דירה ,Kiryat Shmona,Amidar,free,Apartment
דימונה,2200,2.0,3,52.0,23/05/2024,עמידר,פנויה,07/02/2024,דירה ,Dimona,Amidar,free,Apartment
קרית שמונה,2800,3.0,3,57.8,23/05/2024,עמידר,פנויה,23/10/2022,דירה ,Kiryat Shmona,Amidar,free,Apartment
ירוחם,831,2.0,2,44.0,23/05/2024,עמידר,פנויה,15/03/2023,דירה ,Yeruham,Amidar,free,Apartment
באר שבע,9000,2.5,3,42.4,23/05/2024,עמידר,פנויה,07/07/2020,דירה ,Beer Sheva,Amidar,free,Apartment
חיפה,4000,1.0,1,26.5,23/05/2024,עמידר,פנויה,10/03/2022,דירה ,Haifa,Amidar,free,Apartment
טירת כרמל,2100,2.0,4,45.0,23/05/2024,עמידר,פנויה,31/10/2023,דירה ,Tirat Carmel,Amidar,free,Apartment
חצור הגלילית,2034,2.0,5,50.0,23/05/2024,עמידר,פנויה,02/09/2021,דירה ,Hazor HaGalilit,Amidar,free,Apartment
ערד,2560,2.0,4,38.0,23/05/2024,עמידר,פנויה,21/07/2021,דירה ,Arad,Amidar,free,Apartment
עפולה,7700,2.0,4,47.0,23/05/2024,עמידר,פנויה,01/09/2020,דירה ,Afula,Amidar,free,Apartment
עפולה,7700,2.0,4,47.0,23/05/2024,עמידר,פנויה,01/09/2020,דירה ,Afula,Amidar,free,Apartment
